step,sim_time_s,base_pos_x_m,base_pos_y_m,base_pos_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,base_lin_vel_x_mps,base_lin_vel_y_mps,base_lin_vel_z_mps,base_ang_vel_x_radps,base_ang_vel_y_radps,base_ang_vel_z_radps,ref_lin_vel_x_mps,ref_lin_vel_y_mps,ref_ang_vel_z_radps,contact_FL,contact_FR,contact_RL,contact_RR,grf_mpc_FL_x_N,grf_mpc_FL_y_N,grf_mpc_FL_z_N,grf_mpc_FR_x_N,grf_mpc_FR_y_N,grf_mpc_FR_z_N,grf_mpc_RL_x_N,grf_mpc_RL_y_N,grf_mpc_RL_z_N,grf_mpc_RR_x_N,grf_mpc_RR_y_N,grf_mpc_RR_z_N,grf_actual_FL_x_N,grf_actual_FL_y_N,grf_actual_FL_z_N,grf_actual_FR_x_N,grf_actual_FR_y_N,grf_actual_FR_z_N,grf_actual_RL_x_N,grf_actual_RL_y_N,grf_actual_RL_z_N,grf_actual_RR_x_N,grf_actual_RR_y_N,grf_actual_RR_z_N,tau_FL_0_Nm,tau_FL_1_Nm,tau_FL_2_Nm,tau_FR_0_Nm,tau_FR_1_Nm,tau_FR_2_Nm,tau_RL_0_Nm,tau_RL_1_Nm,tau_RL_2_Nm,tau_RR_0_Nm,tau_RR_1_Nm,tau_RR_2_Nm,compute_actions_time_s
0,0.004,2.8725914055507738e-21,-6.574630108921224e-21,0.29017051033281377,7.456726059705091e-19,0.0,0.0,0.010994420376622061,0.00044345732930378267,-0.02669805297197941,0.09868003098250912,-0.09869948405866953,0.007123195952297946,1.1,0.0,0.0,False,False,False,False,33.68202716897433,-4.5160905268257086e-05,67.36405453004542,33.68202716897431,-4.516090526825721e-05,67.36405453004538,33.68202716897422,-4.5160905268257086e-05,67.36405453004521,33.68202716897445,-4.516090526825719e-05,67.36405453004566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.433255177996086,8.88821745666037,15.668218926297962,6.433279237242587,8.888217456660366,15.668218926297953,-6.433255177996066,8.888217456660344,15.668218926297914,6.433279237242614,8.888217456660405,15.66821892629802,0.005399254034273326
1,0.006,2.1988840753244128e-05,8.869146586075588e-07,0.2901171142268698,0.0001973586584102887,-0.00019740037266346988,1.4226912660613542e-05,0.021873046401951576,0.0008763120031923757,-0.03399965569712609,0.1949006546163617,-0.1963450179761731,0.014196083459991626,1.0999999998886771,1.564960392614697e-05,0.0,False,False,False,False,33.68202716897433,-4.5160905268257086e-05,67.36405453004542,33.68202716897431,-4.516090526825721e-05,67.36405453004538,33.68202716897422,-4.5160905268257086e-05,67.36405453004521,33.68202716897445,-4.516090526825719e-05,67.36405453004566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.433255177996086,8.88821745666037,15.668218926297962,6.433279237242587,8.888217456660366,15.668218926297953,-6.433255177996066,8.888217456660344,15.668218926297914,6.433279237242614,8.888217456660405,15.66821892629802,0.0011458680382929742
2,0.008,6.573493355714728e-05,2.63953866499231e-06,0.2900491149154756,0.000587148853887129,-0.0005901015128793041,4.2465045087483925e-05,0.03735751817856477,0.0006235247041546006,-0.020221843208510722,0.15495744310990248,-0.3036372959372674,0.012434850713410993,1.099999999008196,4.671154958219331e-05,0.0,True,True,True,True,33.68202716897433,-4.5160905268257086e-05,67.36405453004542,33.68202716897431,-4.516090526825721e-05,67.36405453004538,33.68202716897422,-4.5160905268257086e-05,67.36405453004521,33.68202716897445,-4.516090526825719e-05,67.36405453004566,39.57574873263988,22.52096014525235,54.25799647345511,40.120883639107895,-23.128510428091698,56.04069730480423,34.77746600109718,2.984732331229475,93.0865624202003,37.29859227331941,-3.0583572048187406,89.26746332593777,-6.522918575952387,8.980296865129901,15.75491463587248,6.509727541274513,8.943335688033176,15.772376859290043,-6.51729705594461,8.971250758556968,15.76782650281897,6.503436016800839,8.977594087808125,15.727557418654419,0.0009866059990599751
3,0.01,0.00014044996991427683,3.886588073301511e-06,0.29000867122905855,0.0008970419251747322,-0.0011973943908281104,6.688409331273928e-05,0.052524034208280626,0.00039874937031375796,-0.0014641531927860642,0.12372725378619161,-0.3904758371511896,0.011302845352731648,1.0999999975395849,7.357250258915895e-05,0.0,True,True,True,True,33.68202716897433,-4.5160905268257086e-05,67.36405453004542,33.68202716897431,-4.516090526825721e-05,67.36405453004538,33.68202716897422,-4.5160905268257086e-05,67.36405453004521,33.68202716897445,-4.516090526825719e-05,67.36405453004566,36.635814612611014,20.424517860626,58.89298787281405,37.010613575608,-20.648377081184755,60.7568474175353,32.477238040463945,-0.36039172524702,104.60728439516808,34.14882183901096,-0.042364916619049627,101.21938951935596,-6.5868042599382965,9.053471417565946,15.834007533288625,6.568383166948353,8.977663570880345,15.868142426027893,-6.586864752794805,9.034585455978903,15.857927965532483,6.558473447713032,9.044164524118843,15.778663965162373,0.0009592120186425745
4,0.012,0.0002454980383308381,4.6840868139290275e-06,0.29000574292267295,0.0011444618159547918,-0.001978368731115676,8.86926413812565e-05,0.06728748969410753,0.00024886324530863256,0.017312717858725495,0.09890277458068897,-0.47651601692679313,0.010709407199006694,1.0999999956734885,9.756190539147201e-05,0.0,True,True,True,True,33.68202716897433,-4.5160905268257086e-05,67.36405453004542,33.68202716897431,-4.516090526825721e-05,67.36405453004538,33.68202716897422,-4.5160905268257086e-05,67.36405453004521,33.68202716897445,-4.516090526825719e-05,67.36405453004566,34.14843218183693,18.8113409045034,58.78163870777249,34.45208707626336,-18.753251884594892,61.47543558866598,30.394429246101897,-0.7348638228278058,101.88714757186212,32.05388974408398,0.40418857847251466,98.5075737226586,-6.5018171006265675,8.992474172441616,15.829062603404028,6.502161478537614,8.921826918251321,15.86475530067077,-6.526017669895144,9.011064408290858,15.799259125807838,6.500508714878246,9.002045314716561,15.740613217621018,0.0009561949991621077
5,0.014,0.00038007301771905314,5.181813304546292e-06,0.2900403683583904,0.001342217707946729,-0.002931426657661662,0.00010892655707813717,0.08273872994020638,0.0007156506687232451,0.03224274126195439,0.07335689484113889,-0.4550284617159927,0.009227113528354824,1.0999999934742528,0.00011981921254900861,0.0,True,True,True,True,5.190073040419922,-0.8180574383075893,10.380146280815524,6.947086114462476,-0.8180588770442988,13.894172430074306,56.84596857302889,0.8862121745516903,113.6919373682997,58.6029836268615,0.8862121762221977,117.20596747741547,6.164691588980111,7.9124833963208925,22.510616950711775,8.311214538590622,-7.177189692151509,27.92096657321962,55.81112526013583,12.519462210156533,114.3077650502086,57.51846553702072,-9.395616750963068,117.58558237630616,-0.8914180620114475,1.5122773361309017,2.606109978326278,1.641394231621328,1.9153230666275052,3.4622987463970905,-11.086274542400803,15.029000781569044,26.4894938027717,10.912628485746948,15.452405734192084,27.261724225334177,0.0035416989703662694
6,0.016,0.000545550477599466,6.613114641992782e-06,0.29010485384091433,0.0014888733754888019,-0.003841508791317949,0.00012609263687920049,0.09809458392629411,0.0012157065443142488,0.046606233705123026,0.05174941853660075,-0.43140317529622063,0.007941683425166955,1.099999991255356,0.00013870190019957534,0.0,True,True,True,True,5.190073040419922,-0.8180574383075893,10.380146280815524,6.947086114462476,-0.8180588770442988,13.894172430074306,56.84596857302889,0.8862121745516903,113.6919373682997,58.6029836268615,0.8862121762221977,117.20596747741547,5.136771762125194,7.296055735157919,20.335335213921528,7.235570360959315,-6.525157550846839,25.79730999206316,54.685454657921994,12.327007821351812,112.17047337865509,56.31732848976399,-9.123084991745998,115.72275674078206,-0.8575984516897779,1.4945045351862736,2.6111088981766466,1.6132492186341325,1.8999619423536982,3.4682426875168653,-11.036092012487444,15.003187597699215,26.440507491319167,10.86176024215861,15.411543871208112,27.224414877549975,0.0009752740152180195
7,0.018000000000000002,0.0007417396454520542,9.044527730621281e-06,0.29019806630832456,0.0015923100299745615,-0.004704338587412371,0.0001406468855082594,0.1133753955700241,0.001740373505927244,0.060420794997923265,0.033213607746885906,-0.40561216814382717,0.006806816998600685,1.0999999891201497,0.00015471157354901303,0.0,True,True,True,True,5.190073040419922,-0.8180574383075893,10.380146280815524,6.947086114462476,-0.8180588770442988,13.894172430074306,56.84596857302889,0.8862121745516903,113.6919373682997,58.6029836268615,0.8862121762221977,117.20596747741547,4.383657563060589,6.863887072692703,18.266319151293334,6.426142910305998,-6.070468057247193,23.780098608555527,53.78193295070315,12.189405579439587,110.34578871222357,55.33464938852429,-8.934611205835138,114.09863090924964,-0.8300312713015019,1.4823875082568903,2.592143883327863,1.592132015981126,1.887873200695914,3.447448585226626,-10.994618203693964,14.947363395728441,26.411908146506164,10.821528368629732,15.347052321816518,27.204437673707258,0.0009836180252023041
8,0.020000000000000004,0.0009684904365921023,1.2525274742475768e-05,0.29031890789832043,0.0016586744217017323,-0.005515583980689076,0.0001529420234327115,0.12861172838740614,0.0022851145753538145,0.07370970599872793,0.0170939044236632,-0.37814621684031857,0.0057888684448835865,1.0999999871348056,0.0001682362251201064,0.0,True,True,True,True,5.190073040419922,-0.8180574383075893,10.380146280815524,6.947086114462476,-0.8180588770442988,13.894172430074306,56.84596857302889,0.8862121745516903,113.6919373682997,58.6029836268615,0.8862121762221977,117.20596747741547,3.8328882447723225,6.562949275141594,16.390771303333526,5.820183399755312,-5.750159642178306,21.96182234912717,53.11603982130484,12.106856911691308,108.71434494482051,54.590422057192164,-8.81270774221577,112.63050953155938,-0.8078677538545965,1.473847346847273,2.5764697146646425,1.5756065296631074,1.8785866771456619,3.4304303829948957,-10.96062926475532,14.897641518795806,26.388305327522968,10.78916169161487,15.290517397636808,27.187535128113257,0.0009607470128685236
9,0.022000000000000006,0.0012257138933669145,1.7095503893183396e-05,0.2904663273103179,0.0016928014648194857,-0.006271894753712148,0.00016325257556035406,0.14382544060308414,0.002846100166189005,0.08650453282029714,0.0028724036621568007,-0.3493808721436564,0.004863487927535912,1.0999999853417282,0.0001795778323187226,0.0,True,True,True,True,5.190073040419922,-0.8180574383075893,10.380146280815524,6.947086114462476,-0.8180588770442988,13.894172430074306,56.84596857302889,0.8862121745516903,113.6919373682997,58.6029836268615,0.8862121762221977,117.20596747741547,3.4354978942475203,6.359611009712611,14.703826593763438,5.3702456806853025,-5.530132695096899,20.33405503051346,52.631045932119946,12.064346727518679,107.2616549155313,54.03024784445572,-8.740354432378666,111.30876784743914,-0.7899925287074476,1.4678118884175917,2.56354769408521,1.5627527745704315,1.8712893890004387,3.416554519641239,-10.932617764231175,14.851869056923533,26.3687613519395,10.763153218955466,15.239544178310798,27.173059524688075,0.0009499689913354814
