step,sim_time_s,base_pos_x_m,base_pos_y_m,base_pos_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,base_lin_vel_x_mps,base_lin_vel_y_mps,base_lin_vel_z_mps,base_ang_vel_x_radps,base_ang_vel_y_radps,base_ang_vel_z_radps,ref_lin_vel_x_mps,ref_lin_vel_y_mps,ref_ang_vel_z_radps,gait_step_freq_hz,contact_FL,contact_FR,contact_RL,contact_RR,grf_mpc_FL_x_N,grf_mpc_FL_y_N,grf_mpc_FL_z_N,grf_mpc_FR_x_N,grf_mpc_FR_y_N,grf_mpc_FR_z_N,grf_mpc_RL_x_N,grf_mpc_RL_y_N,grf_mpc_RL_z_N,grf_mpc_RR_x_N,grf_mpc_RR_y_N,grf_mpc_RR_z_N,grf_actual_FL_x_N,grf_actual_FL_y_N,grf_actual_FL_z_N,grf_actual_FR_x_N,grf_actual_FR_y_N,grf_actual_FR_z_N,grf_actual_RL_x_N,grf_actual_RL_y_N,grf_actual_RL_z_N,grf_actual_RR_x_N,grf_actual_RR_y_N,grf_actual_RR_z_N,tau_FL_0_Nm,tau_FL_1_Nm,tau_FL_2_Nm,tau_FR_0_Nm,tau_FR_1_Nm,tau_FR_2_Nm,tau_RL_0_Nm,tau_RL_1_Nm,tau_RL_2_Nm,tau_RR_0_Nm,tau_RR_1_Nm,tau_RR_2_Nm,compute_actions_time_s
0,0.004,2.8725914055507738e-21,-6.574630108921224e-21,0.29017051033281377,7.456726059705091e-19,0.0,0.0,0.011303829410762361,0.00045464767616386104,-0.02633809276722716,0.10153287851519514,-0.10145962841475863,0.00733596782230167,1.1,0.0,0.0,2.5,False,False,False,False,34.59959582906681,-4.5363555188843865e-05,69.19919212261318,34.59959582906588,-4.536355518884377e-05,69.19919212261132,34.59959582906618,-4.536355518884381e-05,69.19919212261193,34.59959582906653,-4.536355518884384e-05,69.19919212261262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.608510764105942,9.130351035207095,16.095053928367637,6.608534931313001,9.130351035206852,16.095053928367207,-6.608510764105822,9.130351035206932,16.095053928367346,6.608534931313124,9.130351035207026,16.095053928367506,0.005343229044228792
1,0.006,2.2607658821524725e-05,9.092953523277156e-07,0.2901178341472793,0.00020306427120113764,-0.00020292074511152336,1.4651332768614902e-05,0.022488666206391957,0.0008985923222039589,-0.033287466157321546,0.20053495851576342,-0.20184019369137435,0.01462113954988279,1.0999999998819363,1.6116466044899798e-05,0.0,2.5,False,False,False,False,34.59959582906681,-4.5363555188843865e-05,69.19919212261318,34.59959582906588,-4.536355518884377e-05,69.19919212261132,34.59959582906618,-4.536355518884381e-05,69.19919212261193,34.59959582906653,-4.536355518884384e-05,69.19919212261262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.608510764105942,9.130351035207095,16.095053928367637,6.608534931313001,9.130351035206852,16.095053928367207,-6.608510764105822,9.130351035206932,16.095053928367346,6.608534931313124,9.130351035207026,16.095053928367506,0.0011871290626004338
2,0.008,6.758499123430865e-05,2.7064799967356334e-06,0.29005125921496466,0.0006041224233492711,-0.0006066128989286046,4.373068876219492e-05,0.037731916662489096,0.0006538089275608366,-0.016731596596552083,0.1612699367889624,-0.3193633402082703,0.014326512431570723,1.0999999989481948,4.8103757623082356e-05,0.0,2.5,True,True,True,True,34.59959582906681,-4.5363555188843865e-05,69.19919212261318,34.59959582906588,-4.536355518884377e-05,69.19919212261132,34.59959582906618,-4.536355518884381e-05,69.19919212261193,34.59959582906653,-4.536355518884384e-05,69.19919212261262,36.108135380176954,20.07664659642809,63.9237431251224,37.31545059495707,-19.839974075337725,65.39004978461172,35.5642469311815,2.7976480329782687,95.29362220806084,38.24049851453635,-3.6429984572793304,91.74931270412053,-6.700052191526205,9.224482708504485,16.184092518028912,6.686641113303753,9.18645119346463,16.20193272529996,-6.6945267505465695,9.215110895399077,16.19742334564242,6.680267350899801,9.221626406753682,16.155881204441076,0.0010280210990458727
3,0.01,0.00014304882455928685,4.014097851857307e-06,0.2900177960217716,0.0009266362282683359,-0.0012453613199645552,7.18948485583201e-05,0.053112642976764525,0.0004208668513484683,0.003465769751298843,0.12970174326555897,-0.4121343605528961,0.013579326486568653,1.0999999971571222,7.90843333460228e-05,0.0,2.5,True,True,True,True,34.59959582906681,-4.5363555188843865e-05,69.19919212261318,34.59959582906588,-4.536355518884377e-05,69.19919212261132,34.59959582906618,-4.536355518884381e-05,69.19919212261193,34.59959582906653,-4.536355518884384e-05,69.19919212261262,36.18135296951796,19.228796677404006,63.39665709056745,37.010775749751225,-19.227753116739127,64.53248258567328,33.40583080609533,-0.33594331661182214,106.4048693215693,35.12982847620317,-0.3626289418916823,103.51384919991607,-6.7644210705082,9.298689525268543,16.265103165447556,6.745986840888998,9.220610990583419,16.29996211258002,-6.765315039489135,9.279097234548258,16.289752137574677,6.736056793057426,9.288853270085864,16.208008975199935,0.0009678800124675035
4,0.012,0.00024927411051281587,4.855831554554243e-06,0.2900247275612742,0.0011859961569262284,-0.0020696582670653996,9.818283343740377e-05,0.06830481642514011,0.00019665792743588093,0.023101507353619564,0.10469912933081396,-0.5012021253780715,0.013157416811789361,1.0999999946980723,0.00010800111660762472,0.0,2.5,True,True,True,True,34.59959582906681,-4.5363555188843865e-05,69.19919212261318,34.59959582906588,-4.536355518884377e-05,69.19919212261132,34.59959582906618,-4.536355518884381e-05,69.19919212261193,34.59959582906653,-4.536355518884384e-05,69.19919212261262,34.87824212149079,18.191830786508838,60.865192865977,35.738500890579004,-18.34578573947597,62.160827075195726,31.353518939892993,-0.8394060868724144,104.06561165303594,33.02770025918614,0.11621335811063212,100.7073494923097,-6.6793233397643235,9.250234873811383,16.254316127419656,6.6822325048682165,9.170701252276102,16.289531355585215,-6.702355571611491,9.255058125825096,16.229020188511694,6.675498909297401,9.245522025655786,16.16868056334201,0.0010055260499939322
5,0.014,0.00038588374336309607,5.249147409426005e-06,0.29007093057598143,0.0013953301069566115,-0.0030720956447101155,0.00012320396088668804,0.08428366468032741,0.002607598318309205,0.03813306167917032,0.07558921741013538,-0.4764058865546658,0.010518400520161312,1.0999999916514311,0.00013552435663249782,0.0,2.5,True,True,True,True,0.6896598929091553,0.6895962041430231,1.379320154769374,11.177927155129861,2.3771466443952995,22.3558546898671,53.740329422657844,10.04379506529955,107.48065925184125,64.56619052577645,10.043795305612209,129.13238147133683,3.108088684604448,8.104120576237486,13.449697289298234,13.591459537292183,-7.001681408840622,32.65133458883981,52.91032717658061,19.847859959302735,109.47427958431794,63.553829596942805,-3.300795168918743,127.32369715756803,-0.4653483098397876,0.36444216760038983,0.5196088130103813,1.588202450768715,3.0314029194302843,5.419680754878206,-12.95915302752934,14.222504928824781,25.057777179045367,9.57877929223948,17.003841525516357,30.02062675224293,0.004265018971636891
6,0.016,0.0005544510727237509,1.0464344046044414e-05,0.29014719669933975,0.0015464388767266227,-0.00402493732893161,0.00014283938647779754,0.1001336553206362,0.005069416445868089,0.05268810052267352,0.05027778273881157,-0.44977144898708427,0.008032176893425107,1.0999999887783005,0.00015712332459127707,0.0,2.5,True,True,True,True,0.6896598929091553,0.6895962041430231,1.379320154769374,11.177927155129861,2.3771466443952995,22.3558546898671,53.740329422657844,10.04379506529955,107.48065925184125,64.56619052577645,10.043795305612209,129.13238147133683,1.8295758531078268,7.220146053335116,11.533573560855869,12.275588362532137,-6.1043637667005095,30.953395790125736,51.778606221251856,19.729044212919067,107.1408835671039,62.284767189137504,-2.9958437561532834,125.58370511204997,-0.435274996422416,0.34896845471925636,0.5264687412273887,1.554060690784586,3.0117130610524443,5.424761880752199,-12.912087180131312,14.198473186880033,25.00974130897539,9.52060574284034,16.956953432324227,29.979570554598478,0.000986968050710857
7,0.018000000000000002,0.0007547183833650234,2.0603176937780592e-05,0.2902525729003851,0.0016469289921107288,-0.004924504729580725,0.0001574675806556605,0.11587525118296371,0.007567905124842994,0.06678554083783494,0.02798391649196398,-0.4212865547205058,0.005644633327537778,1.0999999863621786,0.00017321433800538796,0.0,2.5,True,True,True,True,0.6896598929091553,0.6895962041430231,1.379320154769374,11.177927155129861,2.3771466443952995,22.3558546898671,53.740329422657844,10.04379506529955,107.48065925184125,64.56619052577645,10.043795305612209,129.13238147133683,0.8522680279802494,6.26124997114948,9.780990807099826,11.263302323949809,-5.198078041406608,29.302648401705436,50.87223544811072,19.67105332450924,105.13624099330393,61.23889391296904,-2.779284731957652,124.07708546596206,-0.41019760944322436,0.3348021073178148,0.5085364760177571,1.5260760215694094,2.9929313592239035,5.40535766255885,-12.873862497992063,14.144223579218442,24.980831059436134,9.473358059623862,16.88462038765908,29.957935511810916,0.0009736090432852507
8,0.020000000000000004,0.0009864688857309507,3.573898718746658e-05,0.29038614398206075,0.0017028440218877635,-0.005767095565338387,0.00016734575865717154,0.13153551416643147,0.010072338721356947,0.08048922227895675,0.00837056241550058,-0.39168647785802657,0.0034160971505073218,1.0999999845974684,0.00018408033366370603,0.0,2.5,True,True,True,True,0.6896598929091553,0.6895962041430231,1.379320154769374,11.177927155129861,2.3771466443952995,22.3558546898671,53.740329422657844,10.04379506529955,107.48065925184125,64.56619052577645,10.043795305612209,129.13238147133683,0.06538680727067421,5.544965129074544,8.581102787157963,10.490785238232743,-4.638467778806558,27.737772818996984,50.20115797014692,19.589954607408163,103.34304786408575,60.43579436703266,-2.7108441829963867,122.7292967416671,-0.3903639346936356,0.3251149972981746,0.4936694793384531,1.503833722163376,2.9779814776741134,5.389556259619845,-12.842373581884193,14.095759579387723,24.95705641760546,9.43536159048145,16.821395065276196,29.93956606712242,0.0009712500032037497
9,0.022000000000000006,0.0012495399140638136,5.5883664630180475e-05,0.2905471224266187,0.0017195513250627958,-0.0065504790653416745,0.0001728375416427697,0.14713943935052873,0.012565284965498498,0.09384355456201555,-0.00898389231991514,-0.3614624647699216,0.0013407056778554746,1.0999999835699512,0.00019012129486047026,0.0,2.5,True,True,True,True,0.6896598929091553,0.6895962041430231,1.379320154769374,11.177927155129861,2.3771466443952995,22.3558546898671,53.740329422657844,10.04379506529955,107.48065925184125,64.56619052577645,10.043795305612209,129.13238147133683,-0.5089113279628231,4.95316493712451,7.704532260467158,9.904360592617108,-4.270846819954412,26.284118888691363,49.70807976483254,19.51800262906532,101.75223846506493,59.82249710907894,-2.7239102959122135,121.52262905245541,-0.3747800615106824,0.3187760009835997,0.48128844581142605,1.4861878943782236,2.9657981710595847,5.376749567850396,-12.816231775119522,14.050981256192875,24.937485535269982,9.40488135709332,16.764649502195176,29.923739371774776,0.0009653359884396195
