step,sim_time_s,base_pos_x_m,base_pos_y_m,base_pos_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,base_lin_vel_x_mps,base_lin_vel_y_mps,base_lin_vel_z_mps,base_ang_vel_x_radps,base_ang_vel_y_radps,base_ang_vel_z_radps,ref_lin_vel_x_mps,gait_step_freq_hz,gaps_crossed,contact_FL,contact_FR,contact_RL,contact_RR,foot_z_FL_m,foot_z_FR_m,foot_z_RL_m,foot_z_RR_m,foot_over_gap_FL,foot_over_gap_FR,foot_over_gap_RL,foot_over_gap_RR,grf_mpc_FL_x_N,grf_mpc_FL_y_N,grf_mpc_FL_z_N,grf_mpc_FR_x_N,grf_mpc_FR_y_N,grf_mpc_FR_z_N,grf_mpc_RL_x_N,grf_mpc_RL_y_N,grf_mpc_RL_z_N,grf_mpc_RR_x_N,grf_mpc_RR_y_N,grf_mpc_RR_z_N,tau_FL_0_Nm,tau_FL_1_Nm,tau_FL_2_Nm,tau_FR_0_Nm,tau_FR_1_Nm,tau_FR_2_Nm,tau_RL_0_Nm,tau_RL_1_Nm,tau_RL_2_Nm,tau_RR_0_Nm,tau_RR_1_Nm,tau_RR_2_Nm,compute_actions_time_s
0,0.004,2.8725914055507738e-21,-6.574630108921224e-21,0.29017051033281377,7.456726059705091e-19,0.0,0.0,0.009795934235547992,0.00040011359786347396,-0.028092346234328845,0.08762981900548118,-0.08800815708132313,0.006299026725581527,0.7,2.6,0,False,False,False,False,0.02379801003025578,0.02379801003025578,0.02379801003025578,0.02379801003025578,False,False,False,False,30.12785381628346,-3.713257210017617e-05,60.25570781372381,30.12785381628154,-3.713257210017625e-05,60.25570781371997,30.127853816279966,-3.713257210017629e-05,60.255707813716825,30.127853816283046,-3.713257210017618e-05,60.255707813722985,-5.754410205114552,7.950320652548958,14.014887140162887,5.754429987306331,7.950320652548452,14.014887140161994,-5.754410205113885,7.950320652548038,14.014887140161262,5.754429987306619,7.95032065254885,14.014887140162696,0.005860949982888997
1,0.006,1.959186847109599e-05,8.002271957269414e-07,0.2901143256403451,0.00017525853108481542,-0.000176017417222063,1.2582629238862468e-05,0.019488478729122478,0.0007901076651754991,-0.03675901522868347,0.17307605203819218,-0.17506181084967973,0.0125502617629588,0.6999999999445871,2.6,0,False,False,False,False,0.023486236312046216,0.02350123655268982,0.023396726078526997,0.023438573898151738,False,False,False,False,30.12785381628346,-3.713257210017617e-05,60.25570781372381,30.12785381628154,-3.713257210017625e-05,60.25570781371997,30.127853816279966,-3.713257210017629e-05,60.255707813716825,30.127853816283046,-3.713257210017618e-05,60.255707813722985,-5.754410205114552,7.950320652548958,14.014887140162887,5.754429987306331,7.950320652548452,14.014887140161994,-5.754410205113885,7.950320652548038,14.014887140161262,5.754429987306619,7.95032065254885,14.014887140162696,0.0012906079646199942
2,0.008,5.856882592934095e-05,2.3804425260779397e-06,0.29004080760988776,0.0005214018691514418,-0.0005261497592208286,3.756119390038815e-05,0.03322111923746782,0.0006687989252767923,-0.026376817225113328,0.1373179012020739,-0.272013379991878,0.011095035483888656,0.6999999995062048,2.6,0,True,True,True,True,0.02290645680653683,0.0229510540497114,0.02263832055932441,0.022762991703490526,False,False,False,False,30.12785381628346,-3.713257210017617e-05,60.25570781372381,30.12785381628154,-3.713257210017625e-05,60.25570781371997,30.127853816279966,-3.713257210017629e-05,60.255707813716825,30.127853816283046,-3.713257210017618e-05,60.255707813722985,-5.836451399060873,8.034201288807886,14.092404356892231,5.824213436896532,8.001346938332174,14.108397067019844,-5.830626068832607,8.026403196352607,14.10366696573914,5.81827648413975,8.032035455216857,14.06834308154795,0.0011652290122583508
3,0.01,0.00012501106440427658,3.7180403766315246e-06,0.28998805397543753,0.0007960202529121089,-0.0010701910163339878,5.939291025202308e-05,0.0466977205248133,0.000444761418285146,-0.011180338705498461,0.10963547279378542,-0.34659653385759287,0.010213424513452753,0.6999999987653687,2.6,0,True,True,True,True,0.022413822874239597,0.022481400824414105,0.02199231578001848,0.022176388461993185,False,False,False,False,30.12785381628346,-3.713257210017617e-05,60.25570781372381,30.12785381628154,-3.713257210017625e-05,60.25570781371997,30.127853816279966,-3.713257210017629e-05,60.255707813716825,30.127853816283046,-3.713257210017618e-05,60.255707813722985,-5.897770254474436,8.102872958505376,14.163853130431383,5.879710019066267,8.035742778358834,14.195167287286385,-5.895105829414118,8.086676830278838,14.184869560689648,5.869987146772594,8.095442573882812,14.11525253978981,0.0011322550708428025
4,0.012,0.0002184065054539032,4.607563213201817e-06,0.2899656932980265,0.0010152631560311298,-0.0017634022978127994,7.919198587182883e-05,0.0597359112568417,0.00033040081634745264,0.00441896057966047,0.0873934725911043,-0.42155823905532575,0.009666840423291453,0.6999999978050202,2.6,0,True,True,True,True,0.022005671031051915,0.022088788727137154,0.021460144387089042,0.021687566946283182,False,False,False,False,30.12785381628346,-3.713257210017617e-05,60.25570781372381,30.12785381628154,-3.713257210017625e-05,60.25570781371997,30.127853816279966,-3.713257210017629e-05,60.255707813716825,30.127853816283046,-3.713257210017618e-05,60.255707813722985,-5.825668719780225,8.051799453910021,14.159739123268233,5.823249233084995,7.989702559884819,14.19171846549868,-5.842745087817943,8.068751969403486,14.134469743964862,5.820573667192569,8.062079498424183,14.082170447409824,0.00105325598269701
5,0.014,0.0003378783279675866,5.268364845896722e-06,0.2899745312191858,0.0011900098992612814,-0.0026065395803589464,9.759604749077653e-05,0.07307786160369525,0.0013186856226699247,0.01587171138678082,0.06490485009690303,-0.4007194087337637,0.007885373199954325,0.699999996666254,2.6,0,True,True,True,True,0.021674961645676394,0.02176941485828726,0.021024012654754426,0.021283558065655822,False,False,False,False,3.13509105443811,-0.17750486854959094,6.270182484920355,6.845466950080763,-0.17750584456998184,13.690934290053093,49.08928351461222,3.0636028607173182,98.17856754438512,52.799663685854966,3.0636028716281087,105.59932791323351,-0.6654884298793747,0.961234029493363,1.629826418949145,1.4400610911607086,1.880886544082836,3.3869280160231474,-10.205183012885458,13.004054366889635,22.886437646358964,9.239081314406478,13.943337515616117,24.567151741271914,0.003791975905187428
6,0.016,0.00048403405117497706,7.905736091236571e-06,0.2900062746419594,0.0013197752039052347,-0.003407997556830411,0.00011236112849415472,0.08634116175441639,0.00234773971458805,0.02678771643769804,0.046164810471872084,-0.3780480314965064,0.006367501188006033,0.6999999955812419,2.6,0,True,True,True,True,0.021421128566081526,0.02152098861742935,0.020665949374777504,0.02094455086723246,False,False,False,False,3.13509105443811,-0.17750486854959094,6.270182484920355,6.845466950080763,-0.17750584456998184,13.690934290053093,49.08928351461222,3.0636028607173182,98.17856754438512,52.799663685854966,3.0636028716281087,105.59932791323351,-0.6371818033042477,0.9477216119035211,1.6328947014809658,1.4147701595915267,1.867990471998913,3.3897823340520667,-10.164090098405186,12.986870956022068,22.844297679957226,9.195924020434244,13.911728875610018,24.534358368247165,0.0010737390257418156
7,0.018000000000000002,0.0006567163746838098,1.260121552041267e-05,0.29005985007483476,0.001412060523777401,-0.004164110309189395,0.00012406343778067163,0.09954379870275337,0.00340979864696217,0.03718502814515144,0.030404973099698734,-0.3535110555748699,0.00506185182878318,0.6999999946128921,2.6,0,True,True,True,True,0.02123128008049871,0.02133172796515062,0.020373928909137223,0.020660944375802487,False,False,False,False,3.13509105443811,-0.17750486854959094,6.270182484920355,6.845466950080763,-0.17750584456998184,13.690934290053093,49.08928351461222,3.0636028607173182,98.17856754438512,52.799663685854966,3.0636028716281087,105.59932791323351,-0.6144303032171677,0.9398080977088072,1.6135575419654897,1.3952439469350995,1.8579925273888471,3.3684022108558858,-10.130642386933319,12.943154930032161,22.819033868127313,9.161224596871632,13.85843874442985,24.516772897063618,0.0011038669617846608
8,0.020000000000000004,0.0008558039720893165,1.942081281433701e-05,0.29013422013112505,0.0014728293444049442,-0.004871146287583006,0.00013316738350731792,0.11271225872977426,0.004499394435268366,0.04708864068425676,0.017012755516162825,-0.327533620336997,0.003931137235799392,0.6999999937932567,2.6,0,True,True,True,True,0.021094590018252785,0.021191731860118607,0.020137709098690892,0.020424547374594204,False,False,False,False,3.13509105443811,-0.17750486854959094,6.270182484920355,6.845466950080763,-0.17750584456998184,13.690934290053093,49.08928351461222,3.0636028607173182,98.17856754438512,52.799663685854966,3.0636028716281087,105.59932791323351,-0.5962971468133962,0.9349096124985389,1.5972348821691535,1.3797548017271022,1.8504674969411612,3.350454555124299,-10.103331500874964,12.90413770410837,22.798262465650623,9.133274482965703,13.811733990952357,24.501991616678726,0.001039900933392346
9,0.022000000000000006,0.001081228489548865,2.8419601684873742e-05,0.29022839741249357,0.0015068190564615342,-0.005526224514645017,0.00014005380752013183,0.12586533030442393,0.005611889414529782,0.05653044341642929,0.005502283847093283,-0.30044033966856903,0.002946304960472891,0.6999999931347258,2.6,0,True,True,True,True,0.021001924352326395,0.021092640749737573,0.01994857891187074,0.02022837636334493,False,False,False,False,3.13509105443811,-0.17750486854959094,6.270182484920355,6.845466950080763,-0.17750584456998184,13.690934290053093,49.08928351461222,3.0636028607173182,98.17856754438512,52.799663685854966,3.0636028716281087,105.59932791323351,-0.581834782956392,0.9321224009684217,1.5834439481749372,1.3674800311017687,1.8446938326811064,3.3353653360044704,-10.08091410615001,12.868071428255538,22.78119154006042,9.11078114799716,13.769596427996502,24.489464018260243,0.0010086089605465531
