time,current_plan_index,phase,period,dt,leg,event_ordinal,pred_touchdown_horizon_index,pred_touchdown_time
19.3280,212,2,30,0.03000,FL,0,28,7.20000
19.3280,212,2,30,0.03000,BL,0,21,6.99000
19.3280,212,2,30,0.03000,FR,0,13,6.75000
19.3280,212,2,30,0.03000,BR,0,6,6.54000
19.3280,212,2,30,0.03000,BR,1,36,7.44000
19.3620,213,3,30,0.03000,FL,0,27,7.20000
19.3620,213,3,30,0.03000,BL,0,20,6.99000
19.3620,213,3,30,0.03000,FR,0,12,6.75000
19.3620,213,3,30,0.03000,BR,0,5,6.54000
19.3620,213,3,30,0.03000,BR,1,35,7.44000
19.3720,213,3,30,0.03000,FL,0,27,7.20000
19.3720,213,3,30,0.03000,BL,0,20,6.99000
19.3720,213,3,30,0.03000,FR,0,12,6.75000
19.3720,213,3,30,0.03000,BR,0,5,6.54000
19.3720,213,3,30,0.03000,BR,1,35,7.44000
19.3820,214,4,30,0.03000,FL,0,26,7.20000
19.3820,214,4,30,0.03000,BL,0,19,6.99000
19.3820,214,4,30,0.03000,FR,0,11,6.75000
19.3820,214,4,30,0.03000,BR,0,4,6.54000
19.3820,214,4,30,0.03000,BR,1,34,7.44000
19.3920,214,4,30,0.03000,FL,0,26,7.20000
19.3920,214,4,30,0.03000,BL,0,19,6.99000
19.3920,214,4,30,0.03000,FR,0,11,6.75000
19.3920,214,4,30,0.03000,BR,0,4,6.54000
19.3920,214,4,30,0.03000,BR,1,34,7.44000
19.4040,214,4,30,0.03000,FL,0,26,7.20000
19.4040,214,4,30,0.03000,BL,0,19,6.99000
19.4040,214,4,30,0.03000,FR,0,11,6.75000
19.4040,214,4,30,0.03000,BR,0,4,6.54000
19.4040,214,4,30,0.03000,BR,1,34,7.44000
19.4160,215,5,30,0.03000,FL,0,25,7.20000
19.4160,215,5,30,0.03000,BL,0,18,6.99000
19.4160,215,5,30,0.03000,FR,0,10,6.75000
19.4160,215,5,30,0.03000,BR,0,3,6.54000
19.4160,215,5,30,0.03000,BR,1,33,7.44000
19.4260,215,5,30,0.03000,FL,0,25,7.20000
19.4260,215,5,30,0.03000,BL,0,18,6.99000
19.4260,215,5,30,0.03000,FR,0,10,6.75000
19.4260,215,5,30,0.03000,BR,0,3,6.54000
19.4260,215,5,30,0.03000,BR,1,33,7.44000
19.4360,215,5,30,0.03000,FL,0,25,7.20000
19.4360,215,5,30,0.03000,BL,0,18,6.99000
19.4360,215,5,30,0.03000,FR,0,10,6.75000
19.4360,215,5,30,0.03000,BR,0,3,6.54000
19.4360,215,5,30,0.03000,BR,1,33,7.44000
19.4500,216,6,30,0.03000,FL,0,24,7.20000
19.4500,216,6,30,0.03000,BL,0,17,6.99000
19.4500,216,6,30,0.03000,FR,0,9,6.75000
19.4500,216,6,30,0.03000,FR,1,39,7.65000
19.4500,216,6,30,0.03000,BR,0,2,6.54000
19.4500,216,6,30,0.03000,BR,1,32,7.44000
19.4640,216,6,30,0.03000,FL,0,24,7.20000
19.4640,216,6,30,0.03000,BL,0,17,6.99000
19.4640,216,6,30,0.03000,FR,0,9,6.75000
19.4640,216,6,30,0.03000,FR,1,39,7.65000
19.4640,216,6,30,0.03000,BR,0,2,6.54000
19.4640,216,6,30,0.03000,BR,1,32,7.44000
19.4920,217,7,30,0.03000,FL,0,23,7.20000
19.4920,217,7,30,0.03000,BL,0,16,6.99000
19.4920,217,7,30,0.03000,FR,0,8,6.75000
19.4920,217,7,30,0.03000,FR,1,38,7.65000
19.4920,217,7,30,0.03000,BR,0,1,6.54000
19.4920,217,7,30,0.03000,BR,1,31,7.44000
19.5400,219,9,30,0.03000,FL,0,21,7.20000
19.5400,219,9,30,0.03000,BL,0,14,6.99000
19.5400,219,9,30,0.03000,FR,0,6,6.75000
19.5400,219,9,30,0.03000,FR,1,36,7.65000
19.5400,219,9,30,0.03000,BR,0,29,7.44000
19.5520,219,9,30,0.03000,FL,0,21,7.20000
19.5520,219,9,30,0.03000,BL,0,14,6.99000
19.5520,219,9,30,0.03000,FR,0,6,6.75000
19.5520,219,9,30,0.03000,FR,1,36,7.65000
19.5520,219,9,30,0.03000,BR,0,29,7.44000
19.5640,220,10,30,0.03000,FL,0,20,7.20000
19.5640,220,10,30,0.03000,BL,0,13,6.99000
19.5640,220,10,30,0.03000,FR,0,5,6.75000
19.5640,220,10,30,0.03000,FR,1,35,7.65000
19.5640,220,10,30,0.03000,BR,0,28,7.44000
19.5760,220,10,30,0.03000,FL,0,20,7.20000
19.5760,220,10,30,0.03000,BL,0,13,6.99000
19.5760,220,10,30,0.03000,FR,0,5,6.75000
19.5760,220,10,30,0.03000,FR,1,35,7.65000
19.5760,220,10,30,0.03000,BR,0,28,7.44000
19.5860,220,10,30,0.03000,FL,0,20,7.20000
19.5860,220,10,30,0.03000,BL,0,13,6.99000
19.5860,220,10,30,0.03000,FR,0,5,6.75000
19.5860,220,10,30,0.03000,FR,1,35,7.65000
19.5860,220,10,30,0.03000,BR,0,28,7.44000
19.5960,221,11,30,0.03000,FL,0,19,7.20000
19.5960,221,11,30,0.03000,BL,0,12,6.99000
19.5960,221,11,30,0.03000,FR,0,4,6.75000
19.5960,221,11,30,0.03000,FR,1,34,7.65000
19.5960,221,11,30,0.03000,BR,0,27,7.44000
