time,current_plan_index,phase,period,dt,leg,event_ordinal,pred_touchdown_horizon_index,pred_touchdown_time
20.8480,694,4,30,0.03000,FL,0,26,21.60000
20.8480,694,4,30,0.03000,BL,0,19,21.39000
20.8480,694,4,30,0.03000,FR,0,11,21.15000
20.8480,694,4,30,0.03000,BR,0,4,20.94000
20.8480,694,4,30,0.03000,BR,1,34,21.84000
20.8860,696,6,30,0.03000,FL,0,24,21.60000
20.8860,696,6,30,0.03000,BL,0,17,21.39000
20.8860,696,6,30,0.03000,FR,0,9,21.15000
20.8860,696,6,30,0.03000,FR,1,39,22.05000
20.8860,696,6,30,0.03000,BR,0,2,20.94000
20.8860,696,6,30,0.03000,BR,1,32,21.84000
20.8960,696,6,30,0.03000,FL,0,24,21.60000
20.8960,696,6,30,0.03000,BL,0,17,21.39000
20.8960,696,6,30,0.03000,FR,0,9,21.15000
20.8960,696,6,30,0.03000,FR,1,39,22.05000
20.8960,696,6,30,0.03000,BR,0,2,20.94000
20.8960,696,6,30,0.03000,BR,1,32,21.84000
20.9060,696,6,30,0.03000,FL,0,24,21.60000
20.9060,696,6,30,0.03000,BL,0,17,21.39000
20.9060,696,6,30,0.03000,FR,0,9,21.15000
20.9060,696,6,30,0.03000,FR,1,39,22.05000
20.9060,696,6,30,0.03000,BR,0,2,20.94000
20.9060,696,6,30,0.03000,BR,1,32,21.84000
20.9160,697,7,30,0.03000,FL,0,23,21.60000
20.9160,697,7,30,0.03000,BL,0,16,21.39000
20.9160,697,7,30,0.03000,FR,0,8,21.15000
20.9160,697,7,30,0.03000,FR,1,38,22.05000
20.9160,697,7,30,0.03000,BR,0,1,20.94000
20.9160,697,7,30,0.03000,BR,1,31,21.84000
20.9340,697,7,30,0.03000,FL,0,23,21.60000
20.9340,697,7,30,0.03000,BL,0,16,21.39000
20.9340,697,7,30,0.03000,FR,0,8,21.15000
20.9340,697,7,30,0.03000,FR,1,38,22.05000
20.9340,697,7,30,0.03000,BR,0,1,20.94000
20.9340,697,7,30,0.03000,BR,1,31,21.84000
20.9460,698,8,30,0.03000,FL,0,22,21.60000
20.9460,698,8,30,0.03000,BL,0,15,21.39000
20.9460,698,8,30,0.03000,FR,0,7,21.15000
20.9460,698,8,30,0.03000,FR,1,37,22.05000
20.9460,698,8,30,0.03000,BR,0,30,21.84000
20.9540,698,8,30,0.03000,FL,0,22,21.60000
20.9540,698,8,30,0.03000,BL,0,15,21.39000
20.9540,698,8,30,0.03000,FR,0,7,21.15000
20.9540,698,8,30,0.03000,FR,1,37,22.05000
20.9540,698,8,30,0.03000,BR,0,30,21.84000
20.9640,698,8,30,0.03000,FL,0,22,21.60000
20.9640,698,8,30,0.03000,BL,0,15,21.39000
20.9640,698,8,30,0.03000,FR,0,7,21.15000
20.9640,698,8,30,0.03000,FR,1,37,22.05000
20.9640,698,8,30,0.03000,BR,0,30,21.84000
20.9740,699,9,30,0.03000,FL,0,21,21.60000
20.9740,699,9,30,0.03000,BL,0,14,21.39000
20.9740,699,9,30,0.03000,FR,0,6,21.15000
20.9740,699,9,30,0.03000,FR,1,36,22.05000
20.9740,699,9,30,0.03000,BR,0,29,21.84000
20.9840,699,9,30,0.03000,FL,0,21,21.60000
20.9840,699,9,30,0.03000,BL,0,14,21.39000
20.9840,699,9,30,0.03000,FR,0,6,21.15000
20.9840,699,9,30,0.03000,FR,1,36,22.05000
20.9840,699,9,30,0.03000,BR,0,29,21.84000
20.9940,699,9,30,0.03000,FL,0,21,21.60000
20.9940,699,9,30,0.03000,BL,0,14,21.39000
20.9940,699,9,30,0.03000,FR,0,6,21.15000
20.9940,699,9,30,0.03000,FR,1,36,22.05000
20.9940,699,9,30,0.03000,BR,0,29,21.84000
21.0020,700,10,30,0.03000,FL,0,20,21.60000
21.0020,700,10,30,0.03000,BL,0,13,21.39000
21.0020,700,10,30,0.03000,FR,0,5,21.15000
21.0020,700,10,30,0.03000,FR,1,35,22.05000
21.0020,700,10,30,0.03000,BR,0,28,21.84000
21.0120,700,10,30,0.03000,FL,0,20,21.60000
21.0120,700,10,30,0.03000,BL,0,13,21.39000
21.0120,700,10,30,0.03000,FR,0,5,21.15000
21.0120,700,10,30,0.03000,FR,1,35,22.05000
21.0120,700,10,30,0.03000,BR,0,28,21.84000
21.0220,700,10,30,0.03000,FL,0,20,21.60000
21.0220,700,10,30,0.03000,BL,0,13,21.39000
21.0220,700,10,30,0.03000,FR,0,5,21.15000
21.0220,700,10,30,0.03000,FR,1,35,22.05000
21.0220,700,10,30,0.03000,BR,0,28,21.84000
21.0300,701,11,30,0.03000,FL,0,19,21.60000
21.0300,701,11,30,0.03000,BL,0,12,21.39000
21.0300,701,11,30,0.03000,FR,0,4,21.15000
21.0300,701,11,30,0.03000,FR,1,34,22.05000
21.0300,701,11,30,0.03000,BR,0,27,21.84000
21.0420,701,11,30,0.03000,FL,0,19,21.60000
21.0420,701,11,30,0.03000,BL,0,12,21.39000
21.0420,701,11,30,0.03000,FR,0,4,21.15000
21.0420,701,11,30,0.03000,FR,1,34,22.05000
21.0420,701,11,30,0.03000,BR,0,27,21.84000
21.0500,701,11,30,0.03000,FL,0,19,21.60000
21.0500,701,11,30,0.03000,BL,0,12,21.39000
21.0500,701,11,30,0.03000,FR,0,4,21.15000
21.0500,701,11,30,0.03000,FR,1,34,22.05000
21.0500,701,11,30,0.03000,BR,0,27,21.84000
21.0600,702,12,30,0.03000,FL,0,18,21.60000
21.0600,702,12,30,0.03000,BL,0,11,21.39000
21.0600,702,12,30,0.03000,FR,0,3,21.15000
21.0600,702,12,30,0.03000,FR,1,33,22.05000
21.0600,702,12,30,0.03000,BR,0,26,21.84000
21.0700,702,12,30,0.03000,FL,0,18,21.60000
21.0700,702,12,30,0.03000,BL,0,11,21.39000
21.0700,702,12,30,0.03000,FR,0,3,21.15000
21.0700,702,12,30,0.03000,FR,1,33,22.05000
21.0700,702,12,30,0.03000,BR,0,26,21.84000
21.0780,702,12,30,0.03000,FL,0,18,21.60000
21.0780,702,12,30,0.03000,BL,0,11,21.39000
21.0780,702,12,30,0.03000,FR,0,3,21.15000
21.0780,702,12,30,0.03000,FR,1,33,22.05000
21.0780,702,12,30,0.03000,BR,0,26,21.84000
21.0900,703,13,30,0.03000,FL,0,17,21.60000
21.0900,703,13,30,0.03000,BL,0,10,21.39000
21.0900,703,13,30,0.03000,FR,0,2,21.15000
21.0900,703,13,30,0.03000,FR,1,32,22.05000
21.0900,703,13,30,0.03000,BR,0,25,21.84000
21.0980,703,13,30,0.03000,FL,0,17,21.60000
21.0980,703,13,30,0.03000,BL,0,10,21.39000
21.0980,703,13,30,0.03000,FR,0,2,21.15000
21.0980,703,13,30,0.03000,FR,1,32,22.05000
21.0980,703,13,30,0.03000,BR,0,25,21.84000
21.1080,703,13,30,0.03000,FL,0,17,21.60000
21.1080,703,13,30,0.03000,BL,0,10,21.39000
21.1080,703,13,30,0.03000,FR,0,2,21.15000
21.1080,703,13,30,0.03000,FR,1,32,22.05000
21.1080,703,13,30,0.03000,BR,0,25,21.84000
21.1160,703,13,30,0.03000,FL,0,17,21.60000
21.1160,703,13,30,0.03000,BL,0,10,21.39000
21.1160,703,13,30,0.03000,FR,0,2,21.15000
21.1160,703,13,30,0.03000,FR,1,32,22.05000
21.1160,703,13,30,0.03000,BR,0,25,21.84000
21.1260,704,14,30,0.03000,FL,0,16,21.60000
21.1260,704,14,30,0.03000,BL,0,9,21.39000
21.1260,704,14,30,0.03000,BL,1,39,22.29000
21.1260,704,14,30,0.03000,FR,0,1,21.15000
21.1260,704,14,30,0.03000,FR,1,31,22.05000
21.1260,704,14,30,0.03000,BR,0,24,21.84000
21.1360,704,14,30,0.03000,FL,0,16,21.60000
21.1360,704,14,30,0.03000,BL,0,9,21.39000
21.1360,704,14,30,0.03000,BL,1,39,22.29000
21.1360,704,14,30,0.03000,FR,0,1,21.15000
21.1360,704,14,30,0.03000,FR,1,31,22.05000
21.1360,704,14,30,0.03000,BR,0,24,21.84000
21.1460,704,14,30,0.03000,FL,0,16,21.60000
21.1460,704,14,30,0.03000,BL,0,9,21.39000
21.1460,704,14,30,0.03000,BL,1,39,22.29000
21.1460,704,14,30,0.03000,FR,0,1,21.15000
21.1460,704,14,30,0.03000,FR,1,31,22.05000
21.1460,704,14,30,0.03000,BR,0,24,21.84000
21.1560,705,15,30,0.03000,FL,0,15,21.60000
21.1560,705,15,30,0.03000,BL,0,8,21.39000
21.1560,705,15,30,0.03000,BL,1,38,22.29000
21.1560,705,15,30,0.03000,FR,0,30,22.05000
21.1560,705,15,30,0.03000,BR,0,23,21.84000
21.1740,705,15,30,0.03000,FL,0,15,21.60000
21.1740,705,15,30,0.03000,BL,0,8,21.39000
21.1740,705,15,30,0.03000,BL,1,38,22.29000
21.1740,705,15,30,0.03000,FR,0,30,22.05000
21.1740,705,15,30,0.03000,BR,0,23,21.84000
21.1860,706,16,30,0.03000,FL,0,14,21.60000
21.1860,706,16,30,0.03000,BL,0,7,21.39000
21.1860,706,16,30,0.03000,BL,1,37,22.29000
21.1860,706,16,30,0.03000,FR,0,29,22.05000
21.1860,706,16,30,0.03000,BR,0,22,21.84000
21.1940,706,16,30,0.03000,FL,0,14,21.60000
21.1940,706,16,30,0.03000,BL,0,7,21.39000
21.1940,706,16,30,0.03000,BL,1,37,22.29000
21.1940,706,16,30,0.03000,FR,0,29,22.05000
21.1940,706,16,30,0.03000,BR,0,22,21.84000
21.2040,706,16,30,0.03000,FL,0,14,21.60000
21.2040,706,16,30,0.03000,BL,0,7,21.39000
21.2040,706,16,30,0.03000,BL,1,37,22.29000
21.2040,706,16,30,0.03000,FR,0,29,22.05000
21.2040,706,16,30,0.03000,BR,0,22,21.84000
21.2140,707,17,30,0.03000,FL,0,13,21.60000
21.2140,707,17,30,0.03000,BL,0,6,21.39000
21.2140,707,17,30,0.03000,BL,1,36,22.29000
21.2140,707,17,30,0.03000,FR,0,28,22.05000
21.2140,707,17,30,0.03000,BR,0,21,21.84000
21.2240,707,17,30,0.03000,FL,0,13,21.60000
21.2240,707,17,30,0.03000,BL,0,6,21.39000
21.2240,707,17,30,0.03000,BL,1,36,22.29000
21.2240,707,17,30,0.03000,FR,0,28,22.05000
21.2240,707,17,30,0.03000,BR,0,21,21.84000
21.2340,707,17,30,0.03000,FL,0,13,21.60000
21.2340,707,17,30,0.03000,BL,0,6,21.39000
21.2340,707,17,30,0.03000,BL,1,36,22.29000
21.2340,707,17,30,0.03000,FR,0,28,22.05000
21.2340,707,17,30,0.03000,BR,0,21,21.84000
21.2420,708,18,30,0.03000,FL,0,12,21.60000
21.2420,708,18,30,0.03000,BL,0,5,21.39000
21.2420,708,18,30,0.03000,BL,1,35,22.29000
21.2420,708,18,30,0.03000,FR,0,27,22.05000
21.2420,708,18,30,0.03000,BR,0,20,21.84000
21.2540,708,18,30,0.03000,FL,0,12,21.60000
21.2540,708,18,30,0.03000,BL,0,5,21.39000
21.2540,708,18,30,0.03000,BL,1,35,22.29000
21.2540,708,18,30,0.03000,FR,0,27,22.05000
21.2540,708,18,30,0.03000,BR,0,20,21.84000
21.2620,708,18,30,0.03000,FL,0,12,21.60000
21.2620,708,18,30,0.03000,BL,0,5,21.39000
21.2620,708,18,30,0.03000,BL,1,35,22.29000
21.2620,708,18,30,0.03000,FR,0,27,22.05000
21.2620,708,18,30,0.03000,BR,0,20,21.84000
21.2720,709,19,30,0.03000,FL,0,11,21.60000
21.2720,709,19,30,0.03000,BL,0,4,21.39000
21.2720,709,19,30,0.03000,BL,1,34,22.29000
21.2720,709,19,30,0.03000,FR,0,26,22.05000
21.2720,709,19,30,0.03000,BR,0,19,21.84000
21.2820,709,19,30,0.03000,FL,0,11,21.60000
21.2820,709,19,30,0.03000,BL,0,4,21.39000
21.2820,709,19,30,0.03000,BL,1,34,22.29000
21.2820,709,19,30,0.03000,FR,0,26,22.05000
21.2820,709,19,30,0.03000,BR,0,19,21.84000
21.3100,710,20,30,0.03000,FL,0,10,21.60000
21.3100,710,20,30,0.03000,BL,0,3,21.39000
21.3100,710,20,30,0.03000,BL,1,33,22.29000
21.3100,710,20,30,0.03000,FR,0,25,22.05000
21.3100,710,20,30,0.03000,BR,0,18,21.84000
21.3200,710,20,30,0.03000,FL,0,10,21.60000
21.3200,710,20,30,0.03000,BL,0,3,21.39000
21.3200,710,20,30,0.03000,BL,1,33,22.29000
21.3200,710,20,30,0.03000,FR,0,25,22.05000
21.3200,710,20,30,0.03000,BR,0,18,21.84000
21.3300,711,21,30,0.03000,FL,0,9,21.60000
21.3300,711,21,30,0.03000,FL,1,39,22.50000
21.3300,711,21,30,0.03000,BL,0,2,21.39000
21.3300,711,21,30,0.03000,BL,1,32,22.29000
