time,current_plan_index,leg,touchdown_index,hip_x,hip_y,hip_z,n_in_reach,n_safe,n_valid,min_valid_reach_dist,sel_x,sel_y,sel_in_reach,sel_passes_all,ik_max_reach
24.4060,315,FL,15,0.19719,0.14149,0.30072,134,134,134,0.27961,0.20402,0.14148,1,1,0.450
24.4060,315,BL,8,-0.19779,0.14194,0.30310,134,134,134,0.28198,-0.19013,0.14193,1,1,0.450
24.4060,315,FR,30,0.21121,-0.14253,0.30006,134,134,134,0.27895,0.21914,-0.14254,1,1,0.450
24.4060,315,BR,23,-0.18191,-0.14207,0.30008,134,134,134,0.27898,-0.17539,-0.14208,1,1,0.450
24.4560,317,FL,13,0.18275,0.14722,0.29961,134,134,134,0.27851,0.24794,0.15676,1,1,0.450
24.4580,317,BL,6,-0.21928,0.14406,0.30185,134,134,134,0.28074,-0.23470,0.14824,1,1,0.450
24.4580,317,FR,28,0.22581,-0.13723,0.30025,134,134,134,0.27915,0.25329,-0.14516,1,1,0.450
24.4580,317,BR,21,-0.16715,-0.12817,0.29954,134,134,134,0.27844,-0.17154,-0.13390,1,1,0.450
24.4700,317,FL,13,0.19802,0.15125,0.29765,134,134,134,0.27656,0.27098,0.16593,1,1,0.450
24.4700,317,BL,6,-0.21756,0.14487,0.29746,134,134,134,0.27637,-0.22509,0.14869,1,1,0.450
24.4700,317,FR,28,0.24923,-0.14011,0.29978,134,134,134,0.27867,0.29937,-0.15498,1,1,0.450
24.4700,317,BR,21,-0.15821,-0.12819,0.29911,134,134,134,0.27801,-0.15180,-0.13170,1,1,0.450
24.4780,317,FL,13,0.20438,0.15010,0.29789,134,134,134,0.27679,0.28658,0.16617,1,1,0.450
24.4780,317,BL,6,-0.21494,0.14428,0.29771,134,134,134,0.27662,-0.21656,0.14748,1,1,0.450
24.4780,317,FR,28,0.26617,-0.13992,0.29982,134,134,134,0.27872,0.32314,-0.15508,1,1,0.450
24.4780,317,BR,21,-0.14560,-0.12831,0.29911,134,134,134,0.27801,-0.13179,-0.13096,1,1,0.450
