time,current_plan_index,leg,touchdown_index,hip_x,hip_y,hip_z,n_in_reach,n_safe,n_valid,min_valid_reach_dist,sel_x,sel_y,sel_in_reach,sel_passes_all,ik_max_reach
21.5040,191,FL,19,0.20176,0.14149,0.30045,134,134,134,0.27935,0.20761,0.14148,1,1,0.450
21.5060,191,BL,12,-0.19217,0.14194,0.30220,134,134,134,0.28109,-0.18611,0.14193,1,1,0.450
21.5060,191,FR,4,0.18687,-0.14250,0.31099,131,131,131,0.28985,0.19013,-0.14250,1,1,0.450
21.5060,191,BR,27,-0.17796,-0.14208,0.30006,134,134,134,0.27896,-0.17068,-0.14208,1,1,0.450
21.5480,193,FL,17,0.20885,0.12803,0.30159,134,134,134,0.28048,0.24888,0.16253,1,1,0.450
21.5480,193,BL,10,-0.18215,0.11336,0.30955,131,131,131,0.28842,-0.20445,0.12897,1,1,0.450
21.5480,193,FR,2,0.19193,-0.14875,0.31507,130,130,130,0.29392,0.22472,-0.17508,1,1,0.450
21.5480,193,BR,25,-0.15363,-0.13448,0.30080,134,134,134,0.27969,-0.16814,-0.13389,1,1,0.450
21.5580,193,FL,17,0.22410,0.13489,0.30058,134,134,134,0.27948,0.27983,0.16547,1,1,0.450
21.5580,193,BL,10,-0.18810,0.12326,0.30599,132,132,132,0.28486,-0.19116,0.12870,1,1,0.450
21.5580,193,FR,2,0.19053,-0.14734,0.31286,131,131,131,0.29172,0.22177,-0.16382,1,1,0.450
21.5580,193,BR,25,-0.14250,-0.13447,0.30033,134,134,134,0.27922,-0.15208,-0.12153,1,1,0.450
21.5680,193,FL,17,0.23178,0.13506,0.30076,134,134,134,0.27966,0.29908,0.16615,1,1,0.450
21.5680,193,BL,10,-0.18585,0.12349,0.30709,132,132,132,0.28597,-0.18127,0.12944,1,1,0.450
21.5680,193,FR,2,0.18963,-0.14635,0.31382,131,131,131,0.29268,0.22435,-0.16121,1,1,0.450
21.5680,193,BR,25,-0.12711,-0.13373,0.30035,134,134,134,0.27925,-0.12781,-0.12236,1,1,0.450
21.5780,194,FL,16,0.23875,0.13690,0.30091,134,134,134,0.27980,0.31917,0.16622,1,1,0.450
21.5780,194,BL,9,-0.18473,0.12667,0.30678,132,132,132,0.28566,-0.16796,0.13150,1,1,0.450
21.5780,194,FR,1,0.18865,-0.14535,0.31380,131,131,131,0.29266,0.22736,-0.15779,1,1,0.450
21.5780,194,BR,24,-0.11416,-0.13360,0.30026,134,134,134,0.27916,-0.10446,-0.12415,1,1,0.450
21.5860,194,FL,16,0.23628,0.13808,0.30092,134,134,134,0.27981,0.31605,0.16653,1,1,0.450
