time,current_plan_index,step_k,leg,x,y,hip_x,n_valid
17.5060,0,0,FL,0.25594,0.13153,0.18594,129
17.5060,0,1,BR,-0.13119,-0.15202,-0.20119,129
17.5060,0,2,FR,0.25561,-0.15247,0.18561,129
17.5060,0,3,BL,-0.13086,0.13198,-0.20086,129
17.5060,0,4,FL,0.25594,0.13153,0.18594,89
17.5060,0,5,BR,-0.13119,-0.15202,-0.20119,89
17.5060,0,6,FR,0.25561,-0.15247,0.18561,89
17.5060,0,7,BL,-0.13086,0.13198,-0.20086,89
17.5060,0,8,FL,0.25594,0.13153,0.18594,89
17.5060,0,9,BR,-0.13119,-0.15202,-0.20119,89
17.5060,0,10,FR,0.25561,-0.15247,0.18561,89
17.5060,0,11,BL,-0.13086,0.13198,-0.20086,89
17.5060,0,12,FL,0.25594,0.13153,0.18594,89
17.5060,0,13,BR,-0.13119,-0.15202,-0.20119,89
17.5060,0,14,FR,0.25561,-0.15247,0.18561,89
17.5060,0,15,BL,-0.13086,0.13198,-0.20086,89
17.5060,0,16,FL,0.25594,0.13153,0.18594,89
17.5060,0,17,BR,-0.13119,-0.15202,-0.20119,89
17.5060,0,18,FR,0.25561,-0.15247,0.18561,89
17.5060,0,19,BL,-0.13086,0.13198,-0.20086,89
17.5060,0,20,FL,0.25594,0.13153,0.18594,89
17.5060,0,21,BR,-0.13119,-0.15202,-0.20119,89
17.5060,0,22,FR,0.25561,-0.15247,0.18561,89
17.5060,0,23,BL,-0.13086,0.13198,-0.20086,89
17.5060,0,24,FL,0.25594,0.13153,0.18594,89
17.5060,0,25,BR,-0.13119,-0.15202,-0.20119,89
17.5060,0,26,FR,0.25561,-0.15247,0.18561,89
17.5060,0,27,BL,-0.13086,0.13198,-0.20086,89
17.5060,0,28,FL,0.25594,0.13153,0.18594,89
17.5060,0,29,BR,-0.13119,-0.15202,-0.20119,89
17.5060,0,30,FR,0.25561,-0.15247,0.18561,89
17.5060,0,31,BL,-0.13086,0.13198,-0.20086,89
18.5160,33,0,FL,0.25300,0.13154,0.18300,131
18.5160,33,1,BR,-0.13346,-0.15201,-0.20346,131
18.5160,33,2,FR,0.25401,-0.15246,0.18401,131
18.5160,33,3,BL,-0.13178,0.13199,-0.20178,131
18.5160,33,4,FL,0.25569,0.13154,0.18569,91
18.5160,33,5,BR,-0.13077,-0.15201,-0.20077,91
18.5160,33,6,FR,0.25670,-0.15246,0.18670,91
18.5160,33,7,BL,-0.12909,0.13199,-0.19909,91
18.5160,33,8,FL,0.25838,0.13154,0.18838,91
18.5160,33,9,BR,-0.12808,-0.15201,-0.19808,91
18.5160,33,10,FR,0.25939,-0.15246,0.18939,91
18.5160,33,11,BL,-0.12640,0.13199,-0.19640,91
18.5160,33,12,FL,0.26107,0.13154,0.19107,91
18.5160,33,13,BR,-0.12539,-0.15201,-0.19539,91
18.5160,33,14,FR,0.26208,-0.15246,0.19208,91
18.5160,33,15,BL,-0.12371,0.13199,-0.19371,91
18.5160,33,16,FL,0.26376,0.13154,0.19376,91
18.5160,33,17,BR,-0.12270,-0.15201,-0.19270,91
18.5160,33,18,FR,0.26477,-0.15246,0.19477,91
18.5160,33,19,BL,-0.12102,0.13199,-0.19102,91
18.5160,33,20,FL,0.26645,0.13154,0.19645,91
18.5160,33,21,BR,-0.12001,-0.15201,-0.19001,91
18.5160,33,22,FR,0.26747,-0.15246,0.19747,91
18.5160,33,23,BL,-0.11833,0.13199,-0.18833,91
18.5160,33,24,FL,0.26914,0.13154,0.19914,91
18.5160,33,25,BR,-0.11732,-0.15201,-0.18732,91
18.5160,33,26,FR,0.27016,-0.15246,0.20016,91
18.5160,33,27,BL,-0.11564,0.13199,-0.18564,91
18.5160,33,28,FL,0.27183,0.13154,0.20183,91
18.5160,33,29,BR,-0.11463,-0.15201,-0.18463,91
18.5160,33,30,FR,0.27285,-0.15246,0.20285,91
18.5160,33,31,BL,-0.11295,0.13199,-0.18295,91
19.4780,65,0,FL,0.25297,0.13154,0.18297,131
19.4780,65,1,BR,-0.13352,-0.15201,-0.20352,131
19.4780,65,2,FR,0.25392,-0.15246,0.18392,131
19.4780,65,3,BL,-0.13191,0.13199,-0.20191,131
19.4780,65,4,FL,0.25553,0.13154,0.18553,91
19.4780,65,5,BR,-0.13096,-0.15201,-0.20096,91
19.4780,65,6,FR,0.25648,-0.15246,0.18648,91
19.4780,65,7,BL,-0.12935,0.13199,-0.19935,91
19.4780,65,8,FL,0.25809,0.13154,0.18809,91
19.4780,65,9,BR,-0.12840,-0.15201,-0.19840,91
19.4780,65,10,FR,0.25903,-0.15246,0.18903,91
19.4780,65,11,BL,-0.12679,0.13199,-0.19679,91
19.4780,65,12,FL,0.26064,0.13154,0.19064,91
19.4780,65,13,BR,-0.12585,-0.15201,-0.19585,91
19.4780,65,14,FR,0.26159,-0.15246,0.19159,91
19.4780,65,15,BL,-0.12424,0.13199,-0.19424,91
19.4780,65,16,FL,0.26320,0.13154,0.19320,91
19.4780,65,17,BR,-0.12329,-0.15201,-0.19329,91
19.4780,65,18,FR,0.26415,-0.15246,0.19415,91
19.4780,65,19,BL,-0.12168,0.13199,-0.19168,91
19.4780,65,20,FL,0.26576,0.13154,0.19576,91
19.4780,65,21,BR,-0.12073,-0.15201,-0.19073,91
19.4780,65,22,FR,0.26671,-0.15246,0.19671,91
19.4780,65,23,BL,-0.11912,0.13199,-0.18912,91
19.4780,65,24,FL,0.26832,0.13154,0.19832,91
19.4780,65,25,BR,-0.11818,-0.15201,-0.18818,91
19.4780,65,26,FR,0.26926,-0.15246,0.19926,91
19.4780,65,27,BL,-0.11657,0.13199,-0.18657,91
19.4780,65,28,FL,0.27087,0.13154,0.20087,91
19.4780,65,29,BR,-0.11562,-0.15201,-0.18562,91
19.4780,65,30,FR,0.27182,-0.15246,0.20182,91
19.4780,65,31,BL,-0.11401,0.13199,-0.18401,91
20.4900,99,0,FL,0.25304,0.13154,0.18304,131
20.4900,99,1,BR,-0.13350,-0.15201,-0.20350,131
20.4900,99,2,FR,0.25389,-0.15246,0.18389,131
20.4900,99,3,BL,-0.13199,0.13199,-0.20199,131
20.4900,99,4,FL,0.25540,0.13154,0.18540,91
20.4900,99,5,BR,-0.13114,-0.15201,-0.20114,91
20.4900,99,6,FR,0.25625,-0.15246,0.18625,91
20.4900,99,7,BL,-0.12963,0.13199,-0.19963,91
20.4900,99,8,FL,0.25776,0.13154,0.18776,91
20.4900,99,9,BR,-0.12878,-0.15201,-0.19878,91
