time,current_plan_index,verdict,blocked_step_k,blocked_leg,n_placed,max_feasible_progress_m,plan_distance_m,compute_time_us
17.5060,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,581
17.5760,2,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,560
17.6240,3,FEASIBLE_TO_RANGE,-1,-,32,-0.1222,2.50,580
17.6740,5,FEASIBLE_TO_RANGE,-1,-,32,-0.1197,2.50,525
17.7220,7,FEASIBLE_TO_RANGE,-1,-,32,-0.1166,2.50,517
17.7680,8,FEASIBLE_TO_RANGE,-1,-,32,-0.1134,2.50,557
17.8160,10,FEASIBLE_TO_RANGE,-1,-,32,-0.1103,2.50,564
17.8620,11,FEASIBLE_TO_RANGE,-1,-,32,-0.1079,2.50,550
17.9100,13,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,514
17.9580,15,FEASIBLE_TO_RANGE,-1,-,32,-0.1045,2.50,529
18.0040,16,FEASIBLE_TO_RANGE,-1,-,32,-0.1035,2.50,583
18.0560,18,FEASIBLE_TO_RANGE,-1,-,32,-0.1028,2.50,586
18.1280,20,FEASIBLE_TO_RANGE,-1,-,32,-0.1022,2.50,994
18.1840,22,FEASIBLE_TO_RANGE,-1,-,32,-0.1021,2.50,608
18.2340,24,FEASIBLE_TO_RANGE,-1,-,32,-0.1019,2.50,532
18.2800,25,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,525
18.3260,27,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,561
18.3760,29,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,530
18.4220,30,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,557
18.4700,32,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,559
18.5160,33,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,548
18.5640,35,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,538
18.6100,36,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,527
18.6580,38,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,544
18.7040,39,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,527
18.7520,41,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,553
18.8000,43,FEASIBLE_TO_RANGE,-1,-,32,-0.1019,2.50,586
18.8480,44,FEASIBLE_TO_RANGE,-1,-,32,-0.1019,2.50,531
18.8960,46,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,529
18.9420,47,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,555
18.9900,49,FEASIBLE_TO_RANGE,-1,-,32,-0.1021,2.50,520
19.0360,51,FEASIBLE_TO_RANGE,-1,-,32,-0.1022,2.50,521
