time,current_plan_index,step_k,leg,x,y,hip_x,n_valid
0.0000,0,0,FL,0.25605,0.13151,0.18605,129
0.0000,0,1,BR,-0.13108,-0.15204,-0.20108,129
0.0000,0,2,FR,0.25572,-0.15249,0.18572,129
0.0000,0,3,BL,-0.13075,0.13196,-0.20075,129
0.0000,0,4,FL,0.25605,0.13151,0.18605,89
0.0000,0,5,BR,-0.13108,-0.15204,-0.20108,89
0.0000,0,6,FR,0.25572,-0.15249,0.18572,89
0.0000,0,7,BL,-0.13075,0.13196,-0.20075,89
0.0000,0,8,FL,0.25605,0.13151,0.18605,89
0.0000,0,9,BR,-0.13108,-0.15204,-0.20108,89
0.0000,0,10,FR,0.25572,-0.15249,0.18572,89
0.0000,0,11,BL,-0.13075,0.13196,-0.20075,89
0.0000,0,12,FL,0.25605,0.13151,0.18605,89
0.0000,0,13,BR,-0.13108,-0.15204,-0.20108,89
0.0000,0,14,FR,0.25572,-0.15249,0.18572,89
0.0000,0,15,BL,-0.13075,0.13196,-0.20075,89
0.0000,0,16,FL,0.25605,0.13151,0.18605,89
0.0000,0,17,BR,-0.13108,-0.15204,-0.20108,89
0.0000,0,18,FR,0.25572,-0.15249,0.18572,89
0.0000,0,19,BL,-0.13075,0.13196,-0.20075,89
0.0000,0,20,FL,0.25605,0.13151,0.18605,89
0.0000,0,21,BR,-0.13108,-0.15204,-0.20108,89
0.0000,0,22,FR,0.25572,-0.15249,0.18572,89
0.0000,0,23,BL,-0.13075,0.13196,-0.20075,89
0.0000,0,24,FL,0.25605,0.13151,0.18605,89
0.0000,0,25,BR,-0.13108,-0.15204,-0.20108,89
0.0000,0,26,FR,0.25572,-0.15249,0.18572,89
0.0000,0,27,BL,-0.13075,0.13196,-0.20075,89
0.0000,0,28,FL,0.25605,0.13151,0.18605,89
0.0000,0,29,BR,-0.13108,-0.15204,-0.20108,89
0.0000,0,30,FR,0.25572,-0.15249,0.18572,89
0.0000,0,31,BL,-0.13075,0.13196,-0.20075,89
0.0000,0,0,FL,0.25605,0.13151,0.18605,129
0.0000,0,1,BR,-0.13108,-0.15204,-0.20108,129
0.0000,0,2,FR,0.25572,-0.15249,0.18572,129
0.0000,0,3,BL,-0.13074,0.13196,-0.20074,129
0.0000,0,4,FL,0.25606,0.13151,0.18606,89
0.0000,0,5,BR,-0.13107,-0.15204,-0.20107,89
0.0000,0,6,FR,0.25574,-0.15249,0.18574,89
0.0000,0,7,BL,-0.13072,0.13196,-0.20072,89
0.0000,0,8,FL,0.25608,0.13151,0.18608,89
0.0000,0,9,BR,-0.13105,-0.15204,-0.20105,89
0.0000,0,10,FR,0.25575,-0.15249,0.18575,89
0.0000,0,11,BL,-0.13071,0.13196,-0.20071,89
0.0000,0,12,FL,0.25609,0.13151,0.18609,89
0.0000,0,13,BR,-0.13104,-0.15204,-0.20104,89
0.0000,0,14,FR,0.25577,-0.15249,0.18577,89
0.0000,0,15,BL,-0.13069,0.13196,-0.20069,89
0.0000,0,16,FL,0.25611,0.13151,0.18611,89
0.0000,0,17,BR,-0.13102,-0.15204,-0.20102,89
0.0000,0,18,FR,0.25578,-0.15249,0.18578,89
0.0000,0,19,BL,-0.13068,0.13196,-0.20068,89
0.0000,0,20,FL,0.25612,0.13151,0.18612,89
0.0000,0,21,BR,-0.13101,-0.15204,-0.20101,89
0.0000,0,22,FR,0.25580,-0.15249,0.18580,89
0.0000,0,23,BL,-0.13066,0.13196,-0.20066,89
0.0000,0,24,FL,0.25614,0.13151,0.18614,89
0.0000,0,25,BR,-0.13099,-0.15204,-0.20099,89
0.0000,0,26,FR,0.25581,-0.15249,0.18581,89
0.0000,0,27,BL,-0.13065,0.13196,-0.20065,89
0.0000,0,28,FL,0.25615,0.13151,0.18615,89
0.0000,0,29,BR,-0.13098,-0.15204,-0.20098,89
0.0000,0,30,FR,0.25583,-0.15249,0.18583,89
0.0000,0,31,BL,-0.13063,0.13196,-0.20063,89
0.0000,0,0,FL,0.25605,0.13151,0.18605,129
0.0000,0,1,BR,-0.13108,-0.15204,-0.20108,129
0.0000,0,2,FR,0.25573,-0.15249,0.18573,129
0.0000,0,3,BL,-0.13073,0.13196,-0.20073,129
0.0000,0,4,FL,0.25608,0.13151,0.18608,89
0.0000,0,5,BR,-0.13105,-0.15204,-0.20105,89
0.0000,0,6,FR,0.25576,-0.15249,0.18576,89
0.0000,0,7,BL,-0.13070,0.13196,-0.20070,89
0.0000,0,8,FL,0.25611,0.13151,0.18611,89
0.0000,0,9,BR,-0.13102,-0.15204,-0.20102,89
0.0000,0,10,FR,0.25579,-0.15249,0.18579,89
0.0000,0,11,BL,-0.13067,0.13196,-0.20067,89
0.0000,0,12,FL,0.25614,0.13151,0.18614,89
0.0000,0,13,BR,-0.13099,-0.15204,-0.20099,89
0.0000,0,14,FR,0.25582,-0.15249,0.18582,89
0.0000,0,15,BL,-0.13064,0.13196,-0.20064,89
0.0000,0,16,FL,0.25617,0.13151,0.18617,89
0.0000,0,17,BR,-0.13096,-0.15204,-0.20096,89
0.0000,0,18,FR,0.25585,-0.15249,0.18585,89
