time,current_plan_index,verdict,blocked_step_k,blocked_leg,n_placed,max_feasible_progress_m,plan_distance_m,compute_time_us
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,3718
12.9420,431,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,589
12.9880,432,FEASIBLE_TO_RANGE,-1,-,32,-0.1217,2.50,569
13.0440,434,FEASIBLE_TO_RANGE,-1,-,32,-0.1180,2.50,568
13.0940,436,FEASIBLE_TO_RANGE,-1,-,32,-0.1148,2.50,775
13.1940,439,FEASIBLE_TO_RANGE,-1,-,32,-0.1093,2.50,558
13.2460,441,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,602
13.2940,443,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,603
13.3440,444,FEASIBLE_TO_RANGE,-1,-,32,-0.1049,2.50,588
13.3880,446,FEASIBLE_TO_RANGE,-1,-,32,-0.1047,2.50,571
13.4340,447,FEASIBLE_TO_RANGE,-1,-,32,-0.1046,2.50,578
13.4820,449,FEASIBLE_TO_RANGE,-1,-,32,-0.1046,2.50,557
13.5360,451,FEASIBLE_TO_RANGE,-1,-,32,-0.1045,2.50,621
13.5780,452,FEASIBLE_TO_RANGE,-1,-,32,-0.1045,2.50,665
13.9640,465,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,897
14.0300,467,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,799
14.0920,469,FEASIBLE_TO_RANGE,-1,-,32,-0.1205,2.50,617
14.1400,471,FEASIBLE_TO_RANGE,-1,-,32,-0.1173,2.50,566
14.1900,473,FEASIBLE_TO_RANGE,-1,-,32,-0.1142,2.50,1084
14.2380,474,FEASIBLE_TO_RANGE,-1,-,32,-0.1121,2.50,658
14.2840,476,FEASIBLE_TO_RANGE,-1,-,32,-0.1109,2.50,560
14.3300,477,FEASIBLE_TO_RANGE,-1,-,32,-0.1102,2.50,562
14.3740,479,FEASIBLE_TO_RANGE,-1,-,32,-0.1098,2.50,634
14.4200,480,FEASIBLE_TO_RANGE,-1,-,32,-0.1095,2.50,555
14.4660,482,FEASIBLE_TO_RANGE,-1,-,32,-0.1092,2.50,594
14.5140,483,FEASIBLE_TO_RANGE,-1,-,32,-0.1089,2.50,629
14.5600,485,FEASIBLE_TO_RANGE,-1,-,32,-0.1087,2.50,1077
14.6180,487,FEASIBLE_TO_RANGE,-1,-,32,-0.1084,2.50,602
14.6640,488,FEASIBLE_TO_RANGE,-1,-,32,-0.1081,2.50,558
14.7120,490,FEASIBLE_TO_RANGE,-1,-,32,-0.1079,2.50,579
14.7580,491,FEASIBLE_TO_RANGE,-1,-,32,-0.1077,2.50,622
14.8040,493,FEASIBLE_TO_RANGE,-1,-,32,-0.1076,2.50,596
14.8500,495,FEASIBLE_TO_RANGE,-1,-,32,-0.1075,2.50,608
14.9000,496,FEASIBLE_TO_RANGE,-1,-,32,-0.1073,2.50,1081
14.9620,498,FEASIBLE_TO_RANGE,-1,-,32,-0.1072,2.50,581
15.0340,501,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,568
15.0820,502,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,783
15.1280,504,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,575
15.1740,505,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,568
15.2200,507,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,644
15.2640,508,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,631
15.3100,510,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,637
15.3580,511,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,595
15.4060,513,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,599
15.4580,515,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,1081
15.5120,517,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,608
15.5580,518,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,558
