time,current_plan_index,step_k,leg,x,y,hip_x,n_valid
13.3500,0,0,FL,0.25597,0.13151,0.18597,129
13.3500,0,1,BR,-0.13116,-0.15205,-0.20116,129
13.3500,0,2,FR,0.25564,-0.15249,0.18564,129
13.3500,0,3,BL,-0.13083,0.13195,-0.20083,129
13.3500,0,4,FL,0.25597,0.13151,0.18597,89
13.3500,0,5,BR,-0.13116,-0.15205,-0.20116,89
13.3500,0,6,FR,0.25564,-0.15249,0.18564,89
13.3500,0,7,BL,-0.13083,0.13195,-0.20083,89
13.3500,0,8,FL,0.25597,0.13151,0.18597,89
13.3500,0,9,BR,-0.13116,-0.15205,-0.20116,89
13.3500,0,10,FR,0.25564,-0.15249,0.18564,89
13.3500,0,11,BL,-0.13083,0.13195,-0.20083,89
13.3500,0,12,FL,0.25597,0.13151,0.18597,89
13.3500,0,13,BR,-0.13116,-0.15205,-0.20116,89
13.3500,0,14,FR,0.25564,-0.15249,0.18564,89
13.3500,0,15,BL,-0.13083,0.13195,-0.20083,89
13.3500,0,16,FL,0.25597,0.13151,0.18597,89
13.3500,0,17,BR,-0.13116,-0.15205,-0.20116,89
13.3500,0,18,FR,0.25564,-0.15249,0.18564,89
13.3500,0,19,BL,-0.13083,0.13195,-0.20083,89
13.3500,0,20,FL,0.25597,0.13151,0.18597,89
13.3500,0,21,BR,-0.13116,-0.15205,-0.20116,89
13.3500,0,22,FR,0.25564,-0.15249,0.18564,89
13.3500,0,23,BL,-0.13083,0.13195,-0.20083,89
13.3500,0,24,FL,0.25597,0.13151,0.18597,89
13.3500,0,25,BR,-0.13116,-0.15205,-0.20116,89
13.3500,0,26,FR,0.25564,-0.15249,0.18564,89
13.3500,0,27,BL,-0.13083,0.13195,-0.20083,89
13.3500,0,28,FL,0.25597,0.13151,0.18597,89
13.3500,0,29,BR,-0.13116,-0.15205,-0.20116,89
13.3500,0,30,FR,0.25564,-0.15249,0.18564,89
13.3500,0,31,BL,-0.13083,0.13195,-0.20083,89
14.3120,32,0,FL,0.25296,0.13151,0.18296,131
14.3120,32,1,BR,-0.13348,-0.15204,-0.20348,131
14.3120,32,2,FR,0.25401,-0.15249,0.18401,131
14.3120,32,3,BL,-0.13177,0.13196,-0.20177,131
14.3120,32,4,FL,0.25572,0.13151,0.18572,91
14.3120,32,5,BR,-0.13072,-0.15204,-0.20072,91
14.3120,32,6,FR,0.25677,-0.15249,0.18677,91
14.3120,32,7,BL,-0.12902,0.13196,-0.19902,91
14.3120,32,8,FL,0.25847,0.13151,0.18847,91
14.3120,32,9,BR,-0.12797,-0.15204,-0.19797,91
14.3120,32,10,FR,0.25952,-0.15249,0.18952,91
14.3120,32,11,BL,-0.12626,0.13196,-0.19626,91
14.3120,32,12,FL,0.26123,0.13151,0.19123,91
14.3120,32,13,BR,-0.12521,-0.15204,-0.19521,91
14.3120,32,14,FR,0.26228,-0.15249,0.19228,91
14.3120,32,15,BL,-0.12350,0.13196,-0.19350,91
14.3120,32,16,FL,0.26399,0.13151,0.19399,91
14.3120,32,17,BR,-0.12245,-0.15204,-0.19245,91
14.3120,32,18,FR,0.26504,-0.15249,0.19504,91
14.3120,32,19,BL,-0.12074,0.13196,-0.19074,91
14.3120,32,20,FL,0.26674,0.13151,0.19674,91
14.3120,32,21,BR,-0.11969,-0.15204,-0.18969,91
14.3120,32,22,FR,0.26779,-0.15249,0.19779,91
14.3120,32,23,BL,-0.11799,0.13196,-0.18799,91
