time,current_plan_index,verdict,blocked_step_k,blocked_leg,n_placed,max_feasible_progress_m,plan_distance_m,compute_time_us
13.3500,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,684
13.4220,2,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,846
13.4740,4,FEASIBLE_TO_RANGE,-1,-,32,-0.1219,2.50,516
13.5200,5,FEASIBLE_TO_RANGE,-1,-,32,-0.1196,2.50,804
13.5720,7,FEASIBLE_TO_RANGE,-1,-,32,-0.1163,2.50,518
13.6220,9,FEASIBLE_TO_RANGE,-1,-,32,-0.1130,2.50,517
13.6660,10,FEASIBLE_TO_RANGE,-1,-,32,-0.1102,2.50,529
13.7080,11,FEASIBLE_TO_RANGE,-1,-,32,-0.1078,2.50,524
13.7540,13,FEASIBLE_TO_RANGE,-1,-,32,-0.1057,2.50,530
13.7980,14,FEASIBLE_TO_RANGE,-1,-,32,-0.1042,2.50,521
13.8420,16,FEASIBLE_TO_RANGE,-1,-,32,-0.1030,2.50,578
13.8860,17,FEASIBLE_TO_RANGE,-1,-,32,-0.1024,2.50,560
13.9320,19,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,524
13.9800,21,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,521
14.0340,22,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,553
14.0800,24,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,597
14.1300,26,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,529
14.1740,27,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,525
14.2200,29,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,530
14.2660,30,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,639
14.3120,32,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,585
14.3640,33,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,593
14.4160,35,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,535
14.4660,37,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,538
14.5140,38,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,520
14.5600,40,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,537
14.6080,41,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,585
14.6520,43,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,572
14.7020,45,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,544
14.7480,46,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,530
14.7960,48,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,585
14.8440,49,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,563
14.8900,51,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,521
14.9380,52,FEASIBLE_TO_RANGE,-1,-,32,-0.1016,2.50,1023
14.9900,54,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,555
15.0360,56,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,523
15.0820,57,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,526
15.1260,59,FEASIBLE_TO_RANGE,-1,-,32,-0.1019,2.50,664
15.1760,60,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,560
15.2220,62,FEASIBLE_TO_RANGE,-1,-,32,-0.1021,2.50,652
15.2740,64,FEASIBLE_TO_RANGE,-1,-,32,-0.1022,2.50,588
15.3280,65,FEASIBLE_TO_RANGE,-1,-,32,-0.1022,2.50,543
15.3720,67,FEASIBLE_TO_RANGE,-1,-,32,-0.1023,2.50,525
15.4160,68,FEASIBLE_TO_RANGE,-1,-,32,-0.1024,2.50,639
15.4620,70,FEASIBLE_TO_RANGE,-1,-,32,-0.1025,2.50,548
15.5100,72,FEASIBLE_TO_RANGE,-1,-,32,-0.1026,2.50,933
15.5660,73,FEASIBLE_TO_RANGE,-1,-,32,-0.1027,2.50,980
15.6160,75,FEASIBLE_TO_RANGE,-1,-,32,-0.1028,2.50,551
15.6640,77,FEASIBLE_TO_RANGE,-1,-,32,-0.1028,2.50,918
15.7180,78,FEASIBLE_TO_RANGE,-1,-,32,-0.1029,2.50,540
15.7660,80,FEASIBLE_TO_RANGE,-1,-,32,-0.1030,2.50,529
15.8100,82,FEASIBLE_TO_RANGE,-1,-,32,-0.1031,2.50,584
15.8560,83,FEASIBLE_TO_RANGE,-1,-,32,-0.1032,2.50,537
15.9000,85,FEASIBLE_TO_RANGE,-1,-,32,-0.1033,2.50,593
15.9460,86,FEASIBLE_TO_RANGE,-1,-,32,-0.1034,2.50,539
15.9920,88,FEASIBLE_TO_RANGE,-1,-,32,-0.1035,2.50,567
16.0400,89,FEASIBLE_TO_RANGE,-1,-,32,-0.1036,2.50,606
16.0860,91,FEASIBLE_TO_RANGE,-1,-,32,-0.1037,2.50,530
16.1340,92,FEASIBLE_TO_RANGE,-1,-,32,-0.1038,2.50,545
16.1820,94,FEASIBLE_TO_RANGE,-1,-,32,-0.1039,2.50,530
16.2300,96,FEASIBLE_TO_RANGE,-1,-,32,-0.1040,2.50,528
16.2820,97,FEASIBLE_TO_RANGE,-1,-,32,-0.1040,2.50,1011
16.3300,99,FEASIBLE_TO_RANGE,-1,-,32,-0.1041,2.50,535
16.3740,100,FEASIBLE_TO_RANGE,-1,-,32,-0.1042,2.50,538
16.4280,102,FEASIBLE_TO_RANGE,-1,-,32,-0.1043,2.50,658
16.4840,104,FEASIBLE_TO_RANGE,-1,-,32,-0.1043,2.50,863
16.5320,106,FEASIBLE_TO_RANGE,-1,-,32,-0.1044,2.50,535
16.5780,107,FEASIBLE_TO_RANGE,-1,-,32,-0.1044,2.50,532
16.6220,109,FEASIBLE_TO_RANGE,-1,-,32,-0.1045,2.50,590
16.6680,110,FEASIBLE_TO_RANGE,-1,-,32,-0.1046,2.50,597
16.7180,112,FEASIBLE_TO_RANGE,-1,-,32,-0.1047,2.50,574
16.7680,113,FEASIBLE_TO_RANGE,-1,-,32,-0.1047,2.50,587
16.8180,115,FEASIBLE_TO_RANGE,-1,-,32,-0.1048,2.50,537
16.8640,117,FEASIBLE_TO_RANGE,-1,-,32,-0.1049,2.50,547
16.9200,119,FEASIBLE_TO_RANGE,-1,-,32,-0.1050,2.50,555
16.9640,120,FEASIBLE_TO_RANGE,-1,-,32,-0.1050,2.50,520
17.0100,122,FEASIBLE_TO_RANGE,-1,-,32,-0.1051,2.50,530
17.0540,123,FEASIBLE_TO_RANGE,-1,-,32,-0.1051,2.50,541
17.1000,125,FEASIBLE_TO_RANGE,-1,-,32,-0.1052,2.50,606
17.1480,126,FEASIBLE_TO_RANGE,-1,-,32,-0.1053,2.50,563
17.1940,128,FEASIBLE_TO_RANGE,-1,-,32,-0.1054,2.50,551
17.2400,129,FEASIBLE_TO_RANGE,-1,-,32,-0.1055,2.50,606
17.2940,131,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,557
17.3380,132,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,548
17.3880,134,FEASIBLE_TO_RANGE,-1,-,32,-0.1057,2.50,976
17.4460,136,FEASIBLE_TO_RANGE,-1,-,32,-0.1057,2.50,546
17.4940,138,FEASIBLE_TO_RANGE,-1,-,32,-0.1057,2.50,760
17.5460,139,FEASIBLE_TO_RANGE,-1,-,32,-0.1058,2.50,535
17.5960,141,FEASIBLE_TO_RANGE,-1,-,32,-0.1058,2.50,523
17.6540,143,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,538
17.7000,145,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,519
17.7560,146,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,601
17.8040,148,FEASIBLE_TO_RANGE,-1,-,32,-0.1060,2.50,617
17.8520,150,FEASIBLE_TO_RANGE,-1,-,32,-0.1060,2.50,654
17.9020,151,FEASIBLE_TO_RANGE,-1,-,32,-0.1061,2.50,561
17.9520,153,FEASIBLE_TO_RANGE,-1,-,32,-0.1061,2.50,597
18.0180,155,FEASIBLE_TO_RANGE,-1,-,32,-0.1062,2.50,971
18.0760,157,FEASIBLE_TO_RANGE,-1,-,32,-0.1061,2.50,546
18.1280,159,FEASIBLE_TO_RANGE,-1,-,32,-0.1061,2.50,552
18.1760,160,FEASIBLE_TO_RANGE,-1,-,32,-0.1061,2.50,996
18.2260,162,FEASIBLE_TO_RANGE,-1,-,32,-0.1062,2.50,537
18.2720,164,FEASIBLE_TO_RANGE,-1,-,32,-0.1063,2.50,587
18.3180,165,FEASIBLE_TO_RANGE,-1,-,32,-0.1063,2.50,538
18.3720,167,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,535
18.4240,169,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,715
18.4720,170,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,548
18.5200,172,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,567
18.5800,174,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,640
18.6400,176,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,572
18.7120,178,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,567
18.7580,180,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,528
18.8040,181,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,533
18.8580,183,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,957
18.9100,185,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,544
18.9580,186,FEASIBLE_TO_RANGE,-1,-,32,-0.1067,2.50,605
19.0120,188,FEASIBLE_TO_RANGE,-1,-,32,-0.1067,2.50,533
19.0580,190,FEASIBLE_TO_RANGE,-1,-,32,-0.1068,2.50,588
19.1060,191,FEASIBLE_TO_RANGE,-1,-,32,-0.1068,2.50,549
19.1540,193,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,615
19.3440,199,FEASIBLE_TO_RANGE,-1,-,32,0.4490,2.50,564
19.3920,201,FEASIBLE_TO_RANGE,-1,-,32,1.1160,2.50,610
19.4560,203,FEASIBLE_TO_RANGE,-1,-,32,1.4915,2.50,627
19.5100,205,FEASIBLE_TO_RANGE,-1,-,32,1.6684,2.50,608
19.5560,206,FEASIBLE_TO_RANGE,-1,-,32,1.7349,2.50,656
19.6100,208,FEASIBLE_TO_RANGE,-1,-,32,1.8093,2.50,679
19.6760,210,FEASIBLE_TO_RANGE,-1,-,32,1.8375,2.50,649
19.7320,212,FEASIBLE_TO_RANGE,-1,-,32,1.8962,2.50,613
19.7860,214,FEASIBLE_TO_RANGE,-1,-,32,1.8946,2.50,574
19.8320,216,FEASIBLE_TO_RANGE,-1,-,32,1.8767,2.50,694
