time,current_plan_index,step_k,leg,x,y,hip_x,n_valid
0.0000,0,0,FL,0.25568,0.13151,0.18568,129
0.0000,0,1,BR,-0.13145,-0.15204,-0.20145,129
0.0000,0,2,FR,0.25535,-0.15249,0.18535,129
0.0000,0,3,BL,-0.13112,0.13196,-0.20112,129
0.0000,0,4,FL,0.25568,0.13151,0.18568,89
0.0000,0,5,BR,-0.13145,-0.15204,-0.20145,89
0.0000,0,6,FR,0.25535,-0.15249,0.18535,89
0.0000,0,7,BL,-0.13112,0.13196,-0.20112,89
0.0000,0,8,FL,0.25568,0.13151,0.18568,89
0.0000,0,9,BR,-0.13145,-0.15204,-0.20145,89
0.0000,0,10,FR,0.25535,-0.15249,0.18535,89
0.0000,0,11,BL,-0.13112,0.13196,-0.20112,89
0.0000,0,12,FL,0.25568,0.13151,0.18568,89
0.0000,0,13,BR,-0.13145,-0.15204,-0.20145,89
0.0000,0,14,FR,0.25535,-0.15249,0.18535,89
0.0000,0,15,BL,-0.13112,0.13196,-0.20112,89
0.0000,0,16,FL,0.25568,0.13151,0.18568,89
0.0000,0,17,BR,-0.13145,-0.15204,-0.20145,89
0.0000,0,18,FR,0.25535,-0.15249,0.18535,89
0.0000,0,19,BL,-0.13112,0.13196,-0.20112,89
0.0000,0,20,FL,0.25568,0.13151,0.18568,89
0.0000,0,21,BR,-0.13145,-0.15204,-0.20145,89
0.0000,0,22,FR,0.25535,-0.15249,0.18535,89
0.0000,0,23,BL,-0.13112,0.13196,-0.20112,89
0.0000,0,24,FL,0.25568,0.13151,0.18568,89
0.0000,0,25,BR,-0.13145,-0.15204,-0.20145,89
0.0000,0,26,FR,0.25535,-0.15249,0.18535,89
0.0000,0,27,BL,-0.13112,0.13196,-0.20112,89
0.0000,0,28,FL,0.25568,0.13151,0.18568,89
0.0000,0,29,BR,-0.13145,-0.15204,-0.20145,89
0.0000,0,30,FR,0.25535,-0.15249,0.18535,89
0.0000,0,31,BL,-0.13112,0.13196,-0.20112,89
16.1420,538,0,FL,0.25299,0.13151,0.18299,131
16.1420,538,1,BR,-0.13350,-0.15204,-0.20350,131
16.1420,538,2,FR,0.25393,-0.15249,0.18393,131
16.1420,538,3,BL,-0.13190,0.13196,-0.20190,131
16.1420,538,4,FL,0.25554,0.13151,0.18554,91
16.1420,538,5,BR,-0.13096,-0.15204,-0.20096,91
16.1420,538,6,FR,0.25647,-0.15249,0.18647,91
16.1420,538,7,BL,-0.12936,0.13196,-0.19936,91
16.1420,538,8,FL,0.25808,0.13151,0.18808,91
16.1420,538,9,BR,-0.12842,-0.15204,-0.19842,91
16.1420,538,10,FR,0.25901,-0.15249,0.18901,91
16.1420,538,11,BL,-0.12682,0.13196,-0.19682,91
16.1420,538,12,FL,0.26062,0.13151,0.19062,91
16.1420,538,13,BR,-0.12588,-0.15204,-0.19588,91
16.1420,538,14,FR,0.26156,-0.15249,0.19156,91
16.1420,538,15,BL,-0.12427,0.13196,-0.19427,91
16.1420,538,16,FL,0.26316,0.13151,0.19316,91
16.1420,538,17,BR,-0.12334,-0.15204,-0.19334,91
16.1420,538,18,FR,0.26410,-0.15249,0.19410,91
16.1420,538,19,BL,-0.12173,0.13196,-0.19173,91
16.1420,538,20,FL,0.26570,0.13151,0.19570,91
16.1420,538,21,BR,-0.12080,-0.15204,-0.19080,91
16.1420,538,22,FR,0.26664,-0.15249,0.19664,91
16.1420,538,23,BL,-0.11919,0.13196,-0.18919,91
16.1420,538,24,FL,0.26824,0.13151,0.19824,91
16.1420,538,25,BR,-0.11825,-0.15204,-0.18825,91
16.1420,538,26,FR,0.26918,-0.15249,0.19918,91
16.1420,538,27,BL,-0.11665,0.13196,-0.18665,91
16.1420,538,28,FL,0.27079,0.13151,0.20079,91
16.1420,538,29,BR,-0.11571,-0.15204,-0.18571,91
16.1420,538,30,FR,0.27172,-0.15249,0.20172,91
16.1420,538,31,BL,-0.11411,0.13196,-0.18411,91
17.0500,568,0,FL,0.25262,0.13151,0.18262,131
17.0500,568,1,BR,-0.13383,-0.15203,-0.20383,131
17.0500,568,2,FR,0.25365,-0.15249,0.18365,131
17.0500,568,3,BL,-0.13213,0.13197,-0.20213,131
17.0500,568,4,FL,0.25535,0.13151,0.18535,91
17.0500,568,5,BR,-0.13110,-0.15203,-0.20110,91
17.0500,568,6,FR,0.25638,-0.15249,0.18638,91
17.0500,568,7,BL,-0.12940,0.13197,-0.19940,91
17.0500,568,8,FL,0.25808,0.13151,0.18808,91
17.0500,568,9,BR,-0.12837,-0.15203,-0.19837,91
17.0500,568,10,FR,0.25911,-0.15249,0.18911,91
17.0500,568,11,BL,-0.12667,0.13197,-0.19667,91
17.0500,568,12,FL,0.26081,0.13151,0.19081,91
17.0500,568,13,BR,-0.12564,-0.15203,-0.19564,91
