time,current_plan_index,verdict,blocked_step_k,blocked_leg,n_placed,max_feasible_progress_m,plan_distance_m,compute_time_us
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,527
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,531
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,884
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,633
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,556
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,1148
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,542
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,505
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,552
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,573
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,677
15.7220,524,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,526
15.7680,525,FEASIBLE_TO_RANGE,-1,-,32,-0.1217,2.50,568
15.8140,527,FEASIBLE_TO_RANGE,-1,-,32,-0.1195,2.50,534
15.8620,528,FEASIBLE_TO_RANGE,-1,-,32,-0.1164,2.50,556
15.9140,530,FEASIBLE_TO_RANGE,-1,-,32,-0.1130,2.50,574
15.9620,532,FEASIBLE_TO_RANGE,-1,-,32,-0.1100,2.50,578
16.0080,533,FEASIBLE_TO_RANGE,-1,-,32,-0.1075,2.50,519
16.0520,535,FEASIBLE_TO_RANGE,-1,-,32,-0.1055,2.50,525
16.0960,536,FEASIBLE_TO_RANGE,-1,-,32,-0.1040,2.50,564
16.1420,538,FEASIBLE_TO_RANGE,-1,-,32,-0.1029,2.50,521
16.1960,539,FEASIBLE_TO_RANGE,-1,-,32,-0.1021,2.50,672
16.2400,541,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,534
16.2880,542,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,593
16.3340,544,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,515
16.3800,546,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,535
16.4240,547,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,592
16.4700,549,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,570
16.5160,550,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,525
16.5600,552,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,541
16.6040,553,FEASIBLE_TO_RANGE,-1,-,32,-0.1011,2.50,514
16.6480,554,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,584
16.6940,556,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,525
16.7380,557,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,570
16.7840,559,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,521
16.8280,560,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,514
16.8720,562,FEASIBLE_TO_RANGE,-1,-,32,-0.1012,2.50,523
16.9160,563,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,539
16.9600,565,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,581
17.0060,566,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,535
17.0500,568,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,573
17.1000,570,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,571
17.1460,571,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,528
17.1920,573,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,528
17.2360,574,FEASIBLE_TO_RANGE,-1,-,32,-0.1016,2.50,531
17.2820,576,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,526
17.3300,577,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,532
17.3820,579,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,539
17.4460,581,FEASIBLE_TO_RANGE,-1,-,32,-0.1019,2.50,990
17.4940,583,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,541
17.5400,584,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,543
17.5880,586,FEASIBLE_TO_RANGE,-1,-,32,-0.1021,2.50,538
17.6360,587,FEASIBLE_TO_RANGE,-1,-,32,-0.1022,2.50,587
17.6820,589,FEASIBLE_TO_RANGE,-1,-,32,-0.1023,2.50,531
17.7260,590,FEASIBLE_TO_RANGE,-1,-,32,-0.1024,2.50,548
17.7760,592,FEASIBLE_TO_RANGE,-1,-,32,-0.1025,2.50,576
17.8200,594,FEASIBLE_TO_RANGE,-1,-,32,-0.1026,2.50,517
17.8660,595,FEASIBLE_TO_RANGE,-1,-,32,-0.1027,2.50,665
17.9220,597,FEASIBLE_TO_RANGE,-1,-,32,-0.1028,2.50,571
17.9660,598,FEASIBLE_TO_RANGE,-1,-,32,-0.1029,2.50,595
18.0160,600,FEASIBLE_TO_RANGE,-1,-,32,-0.1030,2.50,519
18.0620,602,FEASIBLE_TO_RANGE,-1,-,32,-0.1031,2.50,574
18.1080,603,FEASIBLE_TO_RANGE,-1,-,32,-0.1032,2.50,584
18.1540,605,FEASIBLE_TO_RANGE,-1,-,32,-0.1033,2.50,594
18.2020,606,FEASIBLE_TO_RANGE,-1,-,32,-0.1034,2.50,530
18.2500,608,FEASIBLE_TO_RANGE,-1,-,32,-0.1035,2.50,555
18.3000,610,FEASIBLE_TO_RANGE,-1,-,32,-0.1036,2.50,598
18.3480,611,FEASIBLE_TO_RANGE,-1,-,32,-0.1037,2.50,525
18.3960,613,FEASIBLE_TO_RANGE,-1,-,32,-0.1037,2.50,572
18.4440,614,FEASIBLE_TO_RANGE,-1,-,32,-0.1038,2.50,638
18.4920,616,FEASIBLE_TO_RANGE,-1,-,32,-0.1039,2.50,1037
18.5540,618,FEASIBLE_TO_RANGE,-1,-,32,-0.1040,2.50,531
18.5980,619,FEASIBLE_TO_RANGE,-1,-,32,-0.1041,2.50,582
18.6440,621,FEASIBLE_TO_RANGE,-1,-,32,-0.1041,2.50,573
18.6900,623,FEASIBLE_TO_RANGE,-1,-,32,-0.1042,2.50,522
18.7400,624,FEASIBLE_TO_RANGE,-1,-,32,-0.1043,2.50,557
18.7860,626,FEASIBLE_TO_RANGE,-1,-,32,-0.1044,2.50,519
18.8300,627,FEASIBLE_TO_RANGE,-1,-,32,-0.1045,2.50,562
18.8740,629,FEASIBLE_TO_RANGE,-1,-,32,-0.1046,2.50,522
18.9200,630,FEASIBLE_TO_RANGE,-1,-,32,-0.1047,2.50,516
18.9640,632,FEASIBLE_TO_RANGE,-1,-,32,-0.1048,2.50,540
19.0080,633,FEASIBLE_TO_RANGE,-1,-,32,-0.1049,2.50,577
19.0540,635,FEASIBLE_TO_RANGE,-1,-,32,-0.1050,2.50,691
19.0980,636,FEASIBLE_TO_RANGE,-1,-,32,-0.1051,2.50,523
19.1420,638,FEASIBLE_TO_RANGE,-1,-,32,-0.1052,2.50,576
19.1880,639,FEASIBLE_TO_RANGE,-1,-,32,-0.1053,2.50,738
19.2320,641,FEASIBLE_TO_RANGE,-1,-,32,-0.1054,2.50,523
19.2780,642,FEASIBLE_TO_RANGE,-1,-,32,-0.1055,2.50,517
19.3220,644,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,526
19.3680,645,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,521
19.4120,647,FEASIBLE_TO_RANGE,-1,-,32,-0.1057,2.50,531
19.4580,648,FEASIBLE_TO_RANGE,-1,-,32,-0.1058,2.50,555
19.5040,650,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,669
19.5560,651,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,980
19.6080,653,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,613
19.6580,655,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,527
19.7020,656,FEASIBLE_TO_RANGE,-1,-,32,-0.1060,2.50,516
19.7480,658,FEASIBLE_TO_RANGE,-1,-,32,-0.1060,2.50,524
19.7940,659,FEASIBLE_TO_RANGE,-1,-,32,-0.1061,2.50,538
19.8400,661,FEASIBLE_TO_RANGE,-1,-,32,-0.1061,2.50,599
19.8900,663,FEASIBLE_TO_RANGE,-1,-,32,-0.1062,2.50,702
19.9400,664,FEASIBLE_TO_RANGE,-1,-,32,-0.1062,2.50,595
19.9860,666,FEASIBLE_TO_RANGE,-1,-,32,-0.1062,2.50,594
20.0340,667,FEASIBLE_TO_RANGE,-1,-,32,-0.1062,2.50,872
20.0840,669,FEASIBLE_TO_RANGE,-1,-,32,-0.1063,2.50,599
20.1340,671,FEASIBLE_TO_RANGE,-1,-,32,-0.1063,2.50,607
20.1840,672,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,544
20.2280,674,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,630
20.2820,676,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,659
20.3300,677,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,519
20.3740,679,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,580
20.4240,680,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,692
20.4780,682,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,611
20.5340,684,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,528
20.5800,686,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,624
20.6280,687,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,519
20.6780,689,FEASIBLE_TO_RANGE,-1,-,32,-0.1067,2.50,547
20.7220,690,FEASIBLE_TO_RANGE,-1,-,32,-0.1067,2.50,556
20.7680,692,FEASIBLE_TO_RANGE,-1,-,32,-0.1068,2.50,540
20.8140,693,FEASIBLE_TO_RANGE,-1,-,32,-0.1068,2.50,678
20.8680,695,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,576
20.9160,697,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,586
20.9640,698,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,548
21.0220,700,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,517
21.0680,702,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,522
21.1200,704,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,596
21.1720,705,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,561
21.2160,707,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,529
21.2680,708,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,529
21.3140,710,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,522
21.3580,711,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,584
21.4060,713,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,970
21.4740,715,FEASIBLE_TO_RANGE,-1,-,32,-0.1072,2.50,945
21.5260,717,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,583
21.5720,719,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,600
21.6160,720,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,658
21.6680,722,FEASIBLE_TO_RANGE,-1,-,32,-0.1072,2.50,523
21.7160,723,FEASIBLE_TO_RANGE,-1,-,32,-0.1072,2.50,599
21.7680,725,FEASIBLE_TO_RANGE,-1,-,32,-0.1073,2.50,563
21.8140,727,FEASIBLE_TO_RANGE,-1,-,32,-0.1073,2.50,539
21.8600,728,FEASIBLE_TO_RANGE,-1,-,32,-0.1073,2.50,555
21.9080,730,FEASIBLE_TO_RANGE,-1,-,32,-0.1074,2.50,626
21.9600,732,FEASIBLE_TO_RANGE,-1,-,32,-0.1074,2.50,520
22.0540,735,FEASIBLE_TO_RANGE,-1,-,32,0.4476,2.50,582
22.1260,737,FEASIBLE_TO_RANGE,-1,-,32,1.1012,2.50,591
22.1760,739,FEASIBLE_TO_RANGE,-1,-,32,1.3296,2.50,667
22.2280,740,FEASIBLE_TO_RANGE,-1,-,32,1.4735,2.50,658
22.3000,743,FEASIBLE_TO_RANGE,-1,-,32,1.6885,2.50,625
22.3500,745,FEASIBLE_TO_RANGE,-1,-,32,1.7402,2.50,679
22.4080,746,FEASIBLE_TO_RANGE,-1,-,32,1.7785,2.50,673
22.4580,748,FEASIBLE_TO_RANGE,-1,-,32,1.8450,2.50,678
22.5200,750,FEASIBLE_TO_RANGE,-1,-,32,1.8580,2.50,683
22.5720,752,FEASIBLE_TO_RANGE,-1,-,32,1.8778,2.50,618
22.6200,754,FEASIBLE_TO_RANGE,-1,-,32,1.8729,2.50,574
22.6700,755,BLOCKED_AT_STEP_K,30,FR,30,1.8269,2.50,544
22.7300,757,BLOCKED_AT_STEP_K,30,FR,30,1.8486,2.50,576
22.7860,759,BLOCKED_AT_STEP_K,30,FR,30,1.8626,2.50,565
22.8340,761,BLOCKED_AT_STEP_K,30,FR,30,1.8274,2.50,552
22.8840,762,BLOCKED_AT_STEP_K,30,FR,30,1.8451,2.50,602
22.9360,764,BLOCKED_AT_STEP_K,30,FR,30,1.8071,2.50,578
22.9980,766,BLOCKED_AT_STEP_K,28,FL,28,1.7242,2.50,550
23.0480,768,BLOCKED_AT_STEP_K,30,FR,30,1.7783,2.50,1001
23.1000,770,BLOCKED_AT_STEP_K,28,FL,28,1.7201,2.50,516
23.1500,771,BLOCKED_AT_STEP_K,28,FL,28,1.7376,2.50,564
23.2100,773,BLOCKED_AT_STEP_K,28,FL,28,1.7434,2.50,493
23.2620,775,BLOCKED_AT_STEP_K,30,FR,30,1.7342,2.50,1057
23.3220,777,BLOCKED_AT_STEP_K,28,FL,28,1.6948,2.50,519
23.3760,779,BLOCKED_AT_STEP_K,28,FL,28,1.6963,2.50,494
23.4440,781,BLOCKED_AT_STEP_K,26,FR,26,1.6034,2.50,528
23.4940,783,BLOCKED_AT_STEP_K,26,FR,26,1.5786,2.50,524
23.5420,784,BLOCKED_AT_STEP_K,28,FL,28,1.6380,2.50,583
23.6180,787,BLOCKED_AT_STEP_K,28,FL,28,1.6233,2.50,1072
23.6920,789,BLOCKED_AT_STEP_K,26,FR,26,1.6048,2.50,511
23.7440,791,BLOCKED_AT_STEP_K,28,FL,28,1.6007,2.50,902
23.8200,794,BLOCKED_AT_STEP_K,26,FR,26,1.5781,2.50,817
23.8980,796,BLOCKED_AT_STEP_K,24,FL,24,1.4683,2.50,453
23.9480,798,BLOCKED_AT_STEP_K,26,FR,26,1.5206,2.50,544
24.0040,800,BLOCKED_AT_STEP_K,24,FL,24,1.4526,2.50,461
24.0540,801,BLOCKED_AT_STEP_K,31,BL,31,2.3252,2.50,626
24.1140,803,BLOCKED_AT_STEP_K,24,FL,24,1.4730,2.50,489
24.1660,805,BLOCKED_AT_STEP_K,24,FL,24,1.4790,2.50,448
24.2140,807,BLOCKED_AT_STEP_K,24,FL,24,1.4494,2.50,423
24.2620,808,BLOCKED_AT_STEP_K,26,FR,26,1.4482,2.50,446
24.3220,810,BLOCKED_AT_STEP_K,24,FL,24,1.3998,2.50,421
24.3740,812,BLOCKED_AT_STEP_K,22,FR,22,1.3439,2.50,474
24.4240,814,BLOCKED_AT_STEP_K,22,FR,22,1.3141,2.50,394
24.4760,815,BLOCKED_AT_STEP_K,22,FR,22,1.3313,2.50,401
24.5380,817,BLOCKED_AT_STEP_K,22,FR,22,1.3404,2.50,730
24.6020,820,BLOCKED_AT_STEP_K,22,FR,22,1.3259,2.50,395
24.6560,821,BLOCKED_AT_STEP_K,22,FR,22,1.3293,2.50,437
24.7060,823,BLOCKED_AT_STEP_K,24,FL,24,1.3248,2.50,409
24.7560,825,BLOCKED_AT_STEP_K,22,FR,22,1.3005,2.50,442
24.8160,827,BLOCKED_AT_STEP_K,22,FR,22,1.2602,2.50,427
24.8680,828,BLOCKED_AT_STEP_K,20,FL,20,1.1923,2.50,418
24.9320,831,BLOCKED_AT_STEP_K,20,FL,20,1.1957,2.50,491
24.9920,833,BLOCKED_AT_STEP_K,22,FR,22,1.2324,2.50,404
25.0400,834,BLOCKED_AT_STEP_K,20,FL,20,1.2073,2.50,363
25.0880,836,BLOCKED_AT_STEP_K,22,FR,22,1.2176,2.50,383
25.1440,838,BLOCKED_AT_STEP_K,20,FL,20,1.1818,2.50,473
25.1940,839,BLOCKED_AT_STEP_K,22,FR,22,1.1743,2.50,374
25.2520,841,BLOCKED_AT_STEP_K,20,FL,20,1.1470,2.50,367
25.2980,843,BLOCKED_AT_STEP_K,20,FL,20,1.1299,2.50,401
25.3460,844,BLOCKED_AT_STEP_K,18,FR,18,1.0667,2.50,323
25.3940,846,BLOCKED_AT_STEP_K,20,FL,20,1.1202,2.50,539
25.4640,848,BLOCKED_AT_STEP_K,20,FL,20,1.1089,2.50,375
25.5260,850,BLOCKED_AT_STEP_K,18,FR,18,1.0674,2.50,320
25.5740,852,BLOCKED_AT_STEP_K,18,FR,18,1.0778,2.50,318
25.6220,854,BLOCKED_AT_STEP_K,18,FR,18,1.0506,2.50,320
25.6780,855,BLOCKED_AT_STEP_K,20,FL,20,1.0356,2.50,340
25.7300,857,BLOCKED_AT_STEP_K,18,FR,18,1.0198,2.50,310
25.7900,859,BLOCKED_AT_STEP_K,16,FL,16,0.9391,2.50,293
25.8400,861,BLOCKED_AT_STEP_K,18,FR,18,0.9887,2.50,393
25.9080,863,BLOCKED_AT_STEP_K,18,FR,18,0.9804,2.50,312
25.9600,865,BLOCKED_AT_STEP_K,16,FL,16,0.9480,2.50,300
26.0100,867,BLOCKED_AT_STEP_K,16,FL,16,0.9283,2.50,291
26.0600,868,BLOCKED_AT_STEP_K,16,FL,16,0.9358,2.50,298
26.1360,871,BLOCKED_AT_STEP_K,16,FL,16,0.9129,2.50,307
26.1880,872,BLOCKED_AT_STEP_K,16,FL,16,0.8799,2.50,288
26.2340,874,BLOCKED_AT_STEP_K,14,FR,14,0.8101,2.50,266
26.2840,876,BLOCKED_AT_STEP_K,14,FR,14,0.7971,2.50,257
26.3420,878,BLOCKED_AT_STEP_K,14,FR,14,0.8017,2.50,269
26.3900,879,BLOCKED_AT_STEP_K,16,FL,16,0.8445,2.50,283
26.4380,881,BLOCKED_AT_STEP_K,16,FL,16,0.8261,2.50,276
26.4920,883,BLOCKED_AT_STEP_K,14,FR,14,0.7938,2.50,253
26.5400,884,BLOCKED_AT_STEP_K,14,FR,14,0.8003,2.50,264
26.5960,886,BLOCKED_AT_STEP_K,14,FR,14,0.7565,2.50,279
26.6460,888,BLOCKED_AT_STEP_K,14,FR,14,0.7441,2.50,335
26.6980,889,BLOCKED_AT_STEP_K,12,FL,12,0.6680,2.50,251
26.7480,891,BLOCKED_AT_STEP_K,12,FL,12,0.6769,2.50,215
26.8040,893,BLOCKED_AT_STEP_K,14,FR,14,0.7147,2.50,346
26.8540,895,BLOCKED_AT_STEP_K,12,FL,12,0.6632,2.50,254
26.9040,896,BLOCKED_AT_STEP_K,14,FR,14,0.7013,2.50,276
26.9540,898,BLOCKED_AT_STEP_K,12,FL,12,0.6737,2.50,222
27.0040,900,BLOCKED_AT_STEP_K,12,FL,12,0.6563,2.50,275
27.0680,902,BLOCKED_AT_STEP_K,12,FL,12,0.6098,2.50,257
27.1180,903,BLOCKED_AT_STEP_K,12,FL,12,0.6183,2.50,227
27.1680,905,BLOCKED_AT_STEP_K,10,FR,10,0.5419,2.50,186
27.2160,907,BLOCKED_AT_STEP_K,10,FR,10,0.5330,2.50,207
27.2800,909,BLOCKED_AT_STEP_K,17,BR,17,1.4080,2.50,315
27.3460,911,BLOCKED_AT_STEP_K,10,FR,10,0.5263,2.50,221
27.3960,913,BLOCKED_AT_STEP_K,12,FL,12,0.5612,2.50,230
27.4840,916,BLOCKED_AT_STEP_K,10,FR,10,0.5287,2.50,187
27.5380,917,BLOCKED_AT_STEP_K,10,FR,10,0.4866,2.50,179
27.5880,919,BLOCKED_AT_STEP_K,10,FR,10,0.4949,2.50,179
27.6360,921,BLOCKED_AT_STEP_K,8,FL,8,0.4015,2.50,160
27.6920,923,BLOCKED_AT_STEP_K,8,FL,8,0.4032,2.50,155
27.7420,924,BLOCKED_AT_STEP_K,8,FL,8,0.4076,2.50,147
27.7980,926,BLOCKED_AT_STEP_K,10,FR,10,0.4438,2.50,174
27.8540,928,BLOCKED_AT_STEP_K,8,FL,8,0.4090,2.50,145
27.9220,930,BLOCKED_AT_STEP_K,8,FL,8,0.4023,2.50,207
27.9680,932,BLOCKED_AT_STEP_K,8,FL,8,0.3626,2.50,139
