world,gap_cm,mode,speed,iter,final_x,final_z,final_roll,min_z,mstop,slow,applied,verdict
flat_trench_s09_15,15,off,0.30,1,5.06,0.31,0.00,0.306,0,0,0,PASS
flat_trench_s09_15,15,stop,0.30,1,4.87,0.31,0.01,0.306,0,0,0,PASS
flat_trench_s09_15,15,apply,0.30,1,5.23,0.31,-0.01,0.306,0,0,19,PASS
flat_trench_s09_15,15,off,0.30,2,4.93,0.31,0.00,0.307,0,0,0,PASS
flat_trench_s09_15,15,stop,0.30,2,4.44,0.31,0.01,0.279,0,0,0,PASS
flat_trench_s09_15,15,apply,0.30,2,4.54,0.31,0.01,0.306,0,0,17,PASS
flat_trench_s09_15,15,off,0.30,3,3.99,0.31,0.01,0.308,0,0,0,PASS
flat_trench_s09_15,15,stop,0.30,3,4.98,0.31,0.00,0.306,0,0,0,PASS
flat_trench_s09_15,15,apply,0.30,3,5.14,0.31,0.01,0.296,0,0,34,PASS
flat_trench_s09_15,15,shadow,0.30,1,4.23,0.31,0.01,0.307,0,0,0,PASS
flat_trench_s09_25,25,stop,0.30,1,5.12,0.31,-0.00,0.305,0,0,0,PASS
flat_trench_s09_25,25,apply,0.30,1,4.89,0.31,-0.01,0.304,0,0,33,PASS
flat_trench_s09_25,25,off,0.30,2,4.12,0.31,-0.01,0.304,0,0,0,PASS
flat_trench_s09_25,25,stop,0.30,2,5.13,0.31,0.00,0.305,0,0,0,PASS
flat_trench_s09_25,25,apply,0.30,2,4.79,0.31,0.01,0.304,0,0,42,PASS
flat_trench_s09_25,25,off,0.30,3,4.12,0.31,-0.00,0.305,0,0,0,PASS
flat_trench_s09_25,25,stop,0.30,3,5.14,0.31,-0.01,0.305,0,0,0,PASS
flat_trench_s09_25,25,apply,0.30,3,2.15,0.13,1.11,0.131,0,0,191,FAIL
flat_trench_s09_25,25,shadow,0.30,1,5.57,0.31,0.01,0.306,0,0,0,PASS
flat_trench_s09_30,30,off,0.30,1,4.76,0.31,-0.00,0.305,0,0,0,PASS
flat_trench_s09_30,30,stop,0.30,1,4.88,0.31,-0.00,0.296,0,0,0,PASS
flat_trench_s09_30,30,apply,0.30,1,4.87,0.31,-0.00,0.302,0,0,44,PASS
flat_trench_s09_30,30,off,0.30,2,4.91,0.31,-0.00,0.305,0,0,0,PASS
flat_trench_s09_30,30,stop,0.30,2,4.79,0.31,0.01,0.305,0,0,0,PASS
flat_trench_s09_30,30,apply,0.30,2,4.91,0.31,-0.00,0.299,0,0,14,PASS
flat_trench_s09_30,30,off,0.30,3,4.05,0.31,0.01,0.305,0,0,0,PASS
flat_trench_s09_30,30,stop,0.30,3,4.91,0.31,0.00,0.305,0,0,0,PASS
flat_trench_s09_30,30,apply,0.30,3,4.99,0.31,0.00,0.304,0,0,40,PASS
flat_trench_s09_30,30,shadow,0.30,1,3.38,0.31,0.00,0.305,0,0,0,PASS
flat_trench_s09_35,35,off,0.30,1,2.21,-0.13,-2.94,-0.126,0,0,0,FAIL
flat_trench_s09_35,35,stop,0.30,1,4.70,0.31,0.01,0.305,0,0,0,PASS
flat_trench_s09_35,35,apply,0.30,1,4.91,0.31,0.01,0.302,0,0,41,PASS
flat_trench_s09_35,35,off,0.30,2,5.07,0.31,-0.01,0.295,0,0,0,PASS
flat_trench_s09_35,35,stop,0.30,2,5.00,0.31,0.00,0.295,0,0,0,PASS
flat_trench_s09_35,35,apply,0.30,2,2.29,-0.19,1.57,-0.191,0,0,86,FAIL
flat_trench_s09_35,35,off,0.30,3,4.42,0.31,0.01,0.295,0,0,0,PASS
flat_trench_s09_35,35,stop,0.30,3,4.99,0.31,-0.00,0.302,0,0,0,PASS
flat_trench_s09_35,35,apply,0.30,3,2.16,-0.09,0.82,-0.092,0,0,90,FAIL
flat_trench_s09_35,35,shadow,0.30,1,4.94,0.31,0.00,0.295,0,0,0,PASS
flat_trench_s09_50,50,off,0.30,1,2.07,-0.67,2.00,-0.679,0,0,0,FAIL
flat_trench_s09_50,50,stop,0.30,1,1.05,0.31,0.00,0.307,1,12,0,STOP
flat_trench_s09_50,50,apply,0.30,1,1.08,0.31,0.00,0.306,1,11,0,STOP
flat_trench_s09_50,50,off,0.30,2,2.23,-0.70,-2.80,-0.701,0,0,0,FAIL
flat_trench_s09_50,50,stop,0.30,2,1.07,0.31,-0.00,0.307,1,12,0,STOP
flat_trench_s09_50,50,apply,0.30,2,1.03,0.31,-0.00,0.290,1,12,0,STOP
flat_trench_s09_50,50,off,0.30,3,2.06,-0.67,3.12,-0.667,0,0,0,FAIL
flat_trench_s09_50,50,stop,0.30,3,1.04,0.31,0.00,0.288,1,12,0,STOP
flat_trench_s09_50,50,apply,0.30,3,1.07,0.31,0.00,0.305,1,12,0,STOP
flat_trench_s09_50,50,shadow,0.30,1,2.07,-0.67,2.53,-0.668,0,0,0,FAIL
flat_trench_s09_100,100,off,0.30,1,2.64,-0.94,3.14,-0.943,0,0,0,FAIL
flat_trench_s09_100,100,stop,0.30,1,1.05,0.31,0.00,0.294,1,12,0,STOP
flat_trench_s09_100,100,apply,0.30,1,1.07,0.31,0.00,0.285,1,12,0,STOP
flat_trench_s09_100,100,off,0.30,2,2.47,-0.94,3.14,-0.944,0,0,0,FAIL
flat_trench_s09_100,100,stop,0.30,2,1.05,0.31,-0.00,0.302,1,12,0,STOP
